,YearSchluessel,Year,Stadt-/Landkreis,Beschäftigtenquote Männer in %,Beschäftigtenquote Frauen in %,Index Beschäftigtenquote,LAND_NAME,LAND_ABK
1001,201701001,2017,Flensburg,52.400000000000006,52.300000000000004,99.9,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,48.7,48.0,98.5,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,40.7,41.900000000000006,102.9,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,53.7,49.400000000000006,91.9,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,50.1,45.6,91.10000000000001,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,45.300000000000004,43.7,96.4,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,58.300000000000004,53.5,91.80000000000001,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,53.400000000000006,48.7,91.30000000000001,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,48.2,45.0,93.4,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,58.1,52.900000000000006,91.10000000000001,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,55.7,48.300000000000004,86.60000000000001,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,52.2,45.400000000000006,86.9,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,60.7,50.400000000000006,83.0,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,57.400000000000006,44.5,77.60000000000001,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,52.7,40.6,77.10000000000001,Schleswig-Holstein,SH
1053,201701053,2017,Kreis Herzogtum Lauenburg,60.900000000000006,55.7,91.5,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,59.5,52.300000000000004,87.9,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,56.400000000000006,48.6,86.30000000000001,Schleswig-Holstein,SH
1054,201701054,2017,Kreis Nordfriesland,58.7,57.2,97.5,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,55.5,51.5,92.80000000000001,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,50.400000000000006,47.1,93.4,Schleswig-Holstein,SH
1055,201701055,2017,Kreis Ostholstein,58.6,57.0,97.4,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,55.5,52.900000000000006,95.30000000000001,Schleswig-Holstein,SH
1055,200901055,2009,Kreis Ostholstein,49.2,46.800000000000004,95.10000000000001,Schleswig-Holstein,SH
1056,201701056,2017,Kreis Pinneberg,65.0,59.2,91.10000000000001,Schleswig-Holstein,SH
