,YearSchluessel,Year,Stadt-/Landkreis,Anteil männl. Schulabg. mit allgem. Hochschulreife in %,Anteil männl. Schulabgänger ohne Hauptschulabschl. In %,Anteil männl. Schulabgänger mit Hauptschulabschl. In %,LAND_NAME,LAND_ABK
1001,200901001,2009,Flensburg,49.300000000000004,58.6,56.7,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,42.900000000000006,51.5,52.2,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,48.0,56.7,54.5,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,48.2,62.0,56.400000000000006,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,45.400000000000006,54.2,61.400000000000006,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,47.5,59.400000000000006,58.900000000000006,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,43.400000000000006,57.0,51.300000000000004,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,46.300000000000004,53.900000000000006,58.300000000000004,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,47.6,61.900000000000006,53.7,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,42.300000000000004,47.2,51.1,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,41.400000000000006,64.60000000000001,56.1,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,48.800000000000004,69.60000000000001,60.5,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,43.0,67.8,58.0,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,45.400000000000006,63.2,57.7,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,49.5,70.8,57.0,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,43.800000000000004,66.4,59.0,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,46.900000000000006,57.400000000000006,61.1,Schleswig-Holstein,SH
1053,201701053,2017,Kreis Herzogtum Lauenburg,41.2,71.0,57.400000000000006,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,40.6,65.7,57.5,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,47.1,64.8,61.800000000000004,Schleswig-Holstein,SH
1054,201701054,2017,Kreis Nordfriesland,45.300000000000004,66.9,63.5,Schleswig-Holstein,SH
1055,200901055,2009,Kreis Ostholstein,44.800000000000004,57.400000000000006,54.800000000000004,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,50.800000000000004,71.5,55.7,Schleswig-Holstein,SH
1055,201701055,2017,Kreis Ostholstein,49.5,68.7,63.400000000000006,Schleswig-Holstein,SH
1056,200901056,2009,Kreis Pinneberg,40.1,60.5,57.800000000000004,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,48.900000000000006,52.1,59.5,Schleswig-Holstein,SH
1056,201701056,2017,Kreis Pinneberg,49.0,64.7,61.400000000000006,Schleswig-Holstein,SH
1057,200901057,2009,Kreis Plön,47.5,55.900000000000006,60.300000000000004,Schleswig-Holstein,SH
1057,201301057,2013,Kreis Plön,47.0,53.800000000000004,58.300000000000004,Schleswig-Holstein,SH
1057,201701057,2017,Kreis Plön,46.2,59.800000000000004,59.900000000000006,Schleswig-Holstein,SH
