,YearSchluessel,Year,Stadt-/Landkreis,Altenquotient,Jugendquotient,Gesamtquotient,LAND_NAME,LAND_ABK
1001,199501001,1995,Flensburg,27.8,31.400000000000002,59.2,Schleswig-Holstein,SH
1001,200001001,2000,Flensburg,28.200000000000003,31.8,60.0,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,30.900000000000002,30.700000000000003,61.6,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,31.3,28.6,59.900000000000006,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,33.300000000000004,28.0,61.2,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,32.6,28.6,61.2,Schleswig-Holstein,SH
1002,199501002,1995,Kiel,24.700000000000003,25.6,50.300000000000004,Schleswig-Holstein,SH
1002,200001002,2000,Kiel,25.0,26.1,51.1,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,27.400000000000002,26.400000000000002,53.800000000000004,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,28.400000000000002,25.5,53.900000000000006,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,28.1,25.0,53.1,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,28.6,26.200000000000003,54.900000000000006,Schleswig-Holstein,SH
1003,199501003,1995,Lübeck,30.5,29.3,59.800000000000004,Schleswig-Holstein,SH
1003,200001003,2000,Lübeck,31.900000000000002,30.200000000000003,62.1,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,36.7,30.8,67.5,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,39.2,30.400000000000002,69.60000000000001,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,38.5,28.400000000000002,66.9,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,39.0,28.8,67.8,Schleswig-Holstein,SH
1004,199501004,1995,Neumünster,27.900000000000002,34.0,61.900000000000006,Schleswig-Holstein,SH
1004,200001004,2000,Neumünster,29.5,35.5,65.0,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,35.2,36.4,71.60000000000001,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,38.0,35.4,73.4,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,38.1,31.700000000000003,69.8,Schleswig-Holstein,SH
