,YearSchluessel,Year,Stadt-/Landkreis,Anteil Schulabgänger mit allgem. Hochschulreife in %,Anteil Schulabgänger ohne Hauptschulabschluss in %,LAND_NAME,LAND_ABK
1001,200901001,2009,Flensburg,41.800000000000004,7.2,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,42.5,7.6000000000000005,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,47.400000000000006,8.5,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,36.1,7.1000000000000005,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,41.400000000000006,7.7,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,46.5,7.300000000000001,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,27.700000000000003,7.7,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,30.700000000000003,8.6,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,36.800000000000004,11.100000000000001,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,35.800000000000004,5.800000000000001,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,36.7,8.8,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,44.5,7.2,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,20.900000000000002,7.2,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,22.900000000000002,8.6,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,30.0,8.6,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,20.0,7.6000000000000005,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,28.0,8.6,Schleswig-Holstein,SH
1053,201701053,2017,Kreis Herzogtum Lauenburg,33.6,9.600000000000001,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,18.2,6.4,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,22.3,7.2,Schleswig-Holstein,SH
1054,201701054,2017,Kreis Nordfriesland,26.200000000000003,7.300000000000001,Schleswig-Holstein,SH
1055,200901055,2009,Kreis Ostholstein,20.3,7.2,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,26.8,8.700000000000001,Schleswig-Holstein,SH
1055,201701055,2017,Kreis Ostholstein,30.700000000000003,8.4,Schleswig-Holstein,SH
1056,200901056,2009,Kreis Pinneberg,33.300000000000004,5.800000000000001,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,35.0,6.5,Schleswig-Holstein,SH
1056,201701056,2017,Kreis Pinneberg,39.800000000000004,6.9,Schleswig-Holstein,SH
1057,200901057,2009,Kreis Plön,20.0,7.300000000000001,Schleswig-Holstein,SH
1057,201301057,2013,Kreis Plön,23.1,8.1,Schleswig-Holstein,SH
1057,201701057,2017,Kreis Plön,26.700000000000003,8.1,Schleswig-Holstein,SH
1058,200901058,2009,Kreis Rendsburg-Eckernförde,22.1,8.9,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,26.5,8.1,Schleswig-Holstein,SH
1058,201701058,2017,Kreis Rendsburg-Eckernförde,37.1,6.9,Schleswig-Holstein,SH
1059,200901059,2009,Kreis Schleswig,15.8,8.700000000000001,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,23.900000000000002,8.5,Schleswig-Holstein,SH
1059,201701059,2017,Kreis Schleswig,27.1,8.4,Schleswig-Holstein,SH
1060,200901060,2009,Kreis Segeberg,26.1,5.4,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,28.700000000000003,7.2,Schleswig-Holstein,SH
1060,201701060,2017,Kreis Segeberg,35.5,6.9,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,22.6,7.1000000000000005,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,26.900000000000002,7.0,Schleswig-Holstein,SH
1061,201701061,2017,Kreis Steinburg,34.0,7.7,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,35.9,5.2,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,45.300000000000004,4.4,Schleswig-Holstein,SH
1062,201701062,2017,Kreis Stormarn,50.900000000000006,4.5,Schleswig-Holstein,SH
2000,200902,2009,Hamburg,44.6,7.9,Hamburg,HH
2000,201302,2013,Hamburg,58.1,5.0,Hamburg,HH
2000,201702,2017,Hamburg,52.800000000000004,5.300000000000001,Hamburg,HH
3101,200903101,2009,Braunschweig,42.7,6.6000000000000005,Niedersachsen,NI
3101,201303101,2013,Braunschweig,46.300000000000004,5.9,Niedersachsen,NI
3101,201703101,2017,Braunschweig,45.300000000000004,6.300000000000001,Niedersachsen,NI
3102,200903102,2009,Salzgitter,19.3,7.2,Niedersachsen,NI
3102,201303102,2013,Salzgitter,20.5,3.3000000000000003,Niedersachsen,NI
3102,201703102,2017,Salzgitter,24.6,8.200000000000001,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,36.0,3.5,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,38.1,4.0,Niedersachsen,NI
3103,201703103,2017,Wolfsburg,40.6,4.2,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,21.700000000000003,5.800000000000001,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,25.8,4.7,Niedersachsen,NI
3151,201703151,2017,Landkreis Gifhorn,28.1,5.300000000000001,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,21.8,8.1,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,27.3,5.800000000000001,Niedersachsen,NI
3153,201703153,2017,Landkreis Goslar,26.900000000000002,5.2,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,27.5,3.8000000000000003,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,31.400000000000002,6.0,Niedersachsen,NI
3154,201703154,2017,Landkreis Helmstedt,33.7,7.0,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,31.0,5.6000000000000005,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,33.5,4.3,Niedersachsen,NI
3155,201703155,2017,Landkreis Northeim,36.7,4.4,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,22.8,6.0,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,24.3,3.8000000000000003,Niedersachsen,NI
3156,201703156,2017,Landkreis Osterode am Harz,,,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,18.5,6.2,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,31.5,4.2,Niedersachsen,NI
3157,201703157,2017,Landkreis Peine,33.7,3.7,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,24.6,8.0,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,30.6,4.0,Niedersachsen,NI
3158,201703158,2017,Landkreis Wolfenbüttel,33.800000000000004,5.5,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,,,Niedersachsen,NI
3159,201703159,2017,Landkreis Göttingen,43.7,4.2,Niedersachsen,NI
3241,200903241,2009,Hannover,33.4,6.300000000000001,Niedersachsen,NI
3241,201303241,2013,Hannover,38.900000000000006,4.9,Niedersachsen,NI
3241,201703241,2017,Hannover,40.300000000000004,5.300000000000001,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,23.200000000000003,4.5,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,28.0,3.5,Niedersachsen,NI
3251,201703251,2017,Landkreis Diepholz,31.5,4.1000000000000005,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,23.6,6.6000000000000005,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,28.700000000000003,7.1000000000000005,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,30.3,5.0,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,31.200000000000003,7.800000000000001,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,34.4,5.7,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,34.4,6.4,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,19.3,8.6,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,18.900000000000002,7.2,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,23.8,5.2,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),21.1,5.300000000000001,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),25.8,5.0,Niedersachsen,NI
3256,201703256,2017,Landkreis Nienburg (Weser),27.6,6.0,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,36.4,4.800000000000001,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,38.1,3.7,Niedersachsen,NI
3257,201703257,2017,Landkreis Schaumburg,39.0,4.800000000000001,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,19.1,7.4,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,23.0,5.7,Niedersachsen,NI
3351,201703351,2017,Landkreis Celle,24.6,7.7,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,16.3,8.6,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,21.6,7.2,Niedersachsen,NI
3352,201703352,2017,Landkreis Cuxhaven,24.6,7.2,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,26.200000000000003,4.3,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,32.800000000000004,2.9000000000000004,Niedersachsen,NI
3353,201703353,2017,Landkreis Harburg,37.6,3.8000000000000003,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,16.900000000000002,8.200000000000001,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,25.200000000000003,5.300000000000001,Niedersachsen,NI
3354,201703354,2017,Landkreis Lüchow-Dannenberg,24.1,8.4,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,29.3,4.5,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,35.1,4.0,Niedersachsen,NI
3355,201703355,2017,Landkreis Lüneburg,37.4,4.9,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,26.5,7.2,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,30.3,6.0,Niedersachsen,NI
3356,201703356,2017,Landkreis Osterholz,34.2,3.6,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),20.6,8.3,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),25.900000000000002,4.7,Niedersachsen,NI
3357,201703357,2017,Landkreis Rotenburg (Wümme),29.900000000000002,5.6000000000000005,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,22.0,7.7,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,25.200000000000003,7.6000000000000005,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,31.700000000000003,6.300000000000001,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,22.8,6.9,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,26.6,5.1000000000000005,Niedersachsen,NI
3359,201703359,2017,Landkreis Stade,28.700000000000003,4.800000000000001,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,27.700000000000003,6.5,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,25.8,3.3000000000000003,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,30.700000000000003,5.9,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,29.3,5.4,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,29.400000000000002,4.800000000000001,Niedersachsen,NI
3361,201703361,2017,Landkreis Verden,33.4,4.0,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,23.400000000000002,6.9,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,26.3,6.800000000000001,Niedersachsen,NI
3401,201703401,2017,Delmenhorst,26.900000000000002,9.9,Niedersachsen,NI
3402,200903402,2009,Emden,30.5,7.300000000000001,Niedersachsen,NI
3402,201303402,2013,Emden,28.700000000000003,9.3,Niedersachsen,NI
3402,201703402,2017,Emden,32.0,8.700000000000001,Niedersachsen,NI
3403,200903403,2009,Oldenburg,38.800000000000004,6.7,Niedersachsen,NI
3403,201303403,2013,Oldenburg,43.300000000000004,6.0,Niedersachsen,NI
3403,201703403,2017,Oldenburg,46.6,5.4,Niedersachsen,NI
3404,200903404,2009,Osnabrück,40.900000000000006,4.9,Niedersachsen,NI
3404,201303404,2013,Osnabrück,42.2,4.6000000000000005,Niedersachsen,NI
3404,201703404,2017,Osnabrück,43.7,4.7,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,25.5,9.4,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,33.9,5.7,Niedersachsen,NI
3405,201703405,2017,Wilhelmshaven,34.300000000000004,4.0,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,19.6,6.4,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,24.5,2.7,Niedersachsen,NI
3451,201703451,2017,Landkreis Ammerland,26.1,5.5,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,19.3,9.5,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,20.900000000000002,8.200000000000001,Niedersachsen,NI
3452,201703452,2017,Landkreis Aurich,26.8,8.1,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,16.5,6.1000000000000005,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,16.6,4.800000000000001,Niedersachsen,NI
3453,201703453,2017,Landkreis Cloppenburg,19.700000000000003,6.2,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,23.700000000000003,5.9,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,24.0,4.7,Niedersachsen,NI
3454,201703454,2017,Landkreis Emsland,26.3,7.5,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,16.0,7.2,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,20.0,3.6,Niedersachsen,NI
3455,201703455,2017,Landkreis Friesland,23.5,9.3,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,20.400000000000002,8.1,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,20.900000000000002,6.9,Niedersachsen,NI
3456,201703456,2017,Landkreis Grafschaft Bentheim,26.0,5.9,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,15.100000000000001,9.3,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,18.6,7.5,Niedersachsen,NI
3457,201703457,2017,Landkreis Leer,18.900000000000002,9.200000000000001,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),13.100000000000001,7.0,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),12.3,4.3,Niedersachsen,NI
3458,201703458,2017,Landkreis Oldenburg (Land),13.700000000000001,7.7,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),16.6,6.4,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),20.8,4.1000000000000005,Niedersachsen,NI
3459,201703459,2017,Landkreis Osnabrück (Land),24.0,6.800000000000001,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,26.6,6.1000000000000005,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,28.400000000000002,4.5,Niedersachsen,NI
3460,201703460,2017,Landkreis Vechta,27.5,8.8,Niedersachsen,NI
3461,200903461,2009,Landkreis Wesermarsch,24.900000000000002,4.3,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,25.700000000000003,4.1000000000000005,Niedersachsen,NI
3461,201703461,2017,Landkreis Wesermarsch,26.8,4.1000000000000005,Niedersachsen,NI
3462,200903462,2009,Landkreis Wittmund,23.5,5.0,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,27.1,4.7,Niedersachsen,NI
3462,201703462,2017,Landkreis Wittmund,31.700000000000003,5.800000000000001,Niedersachsen,NI
4011,200904011,2009,Bremen,32.7,5.1000000000000005,Bremen,HB
4011,201304011,2013,Bremen,37.5,6.1000000000000005,Bremen,HB
4011,201704011,2017,Bremen,38.1,8.4,Bremen,HB
4012,200904012,2009,Bremerhaven,32.7,9.200000000000001,Bremen,HB
4012,201304012,2013,Bremerhaven,38.800000000000004,6.2,Bremen,HB
4012,201704012,2017,Bremerhaven,33.2,7.800000000000001,Bremen,HB
5111,200905111,2009,Düsseldorf,35.6,8.4,Nordrhein-Westfalen,NW
5111,201305111,2013,Düsseldorf,51.400000000000006,5.0,Nordrhein-Westfalen,NW
5111,201705111,2017,Düsseldorf,42.6,5.6000000000000005,Nordrhein-Westfalen,NW
5112,200905112,2009,Duisburg,28.3,8.5,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,44.5,5.7,Nordrhein-Westfalen,NW
5112,201705112,2017,Duisburg,37.2,7.0,Nordrhein-Westfalen,NW
5113,200905113,2009,Essen,35.1,8.0,Nordrhein-Westfalen,NW
