,YearSchluessel,Year,Stadt-/Landkreis,BIP je Einwohner in EUR,LAND_NAME,LAND_ABK
1001,200001001,2000,Flensburg,32428.0,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,37258.0,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,37920.0,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,39359.0,Schleswig-Holstein,SH
1001,201601001,2016,Flensburg,42827.0,Schleswig-Holstein,SH
1002,200001002,2000,Kiel,33900.0,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,35384.0,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,38825.0,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,41937.0,Schleswig-Holstein,SH
1002,201601002,2016,Kiel,45821.0,Schleswig-Holstein,SH
1003,200001003,2000,Lübeck,26464.0,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,27543.0,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,29373.0,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,34834.0,Schleswig-Holstein,SH
1003,201601003,2016,Lübeck,38078.0,Schleswig-Holstein,SH
1004,200001004,2000,Neumünster,27364.0,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,28446.0,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,30860.0,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,35930.0,Schleswig-Holstein,SH
1004,201601004,2016,Neumünster,39621.0,Schleswig-Holstein,SH
1051,200001051,2000,Kreis Dithmarschen,22506.0,Schleswig-Holstein,SH
1051,200501051,2005,Kreis Dithmarschen,21957.0,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,23484.0,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,28436.0,Schleswig-Holstein,SH
1051,201601051,2016,Kreis Dithmarschen,31456.0,Schleswig-Holstein,SH
1053,200001053,2000,Kreis Herzogtum Lauenburg,18138.0,Schleswig-Holstein,SH
1053,200501053,2005,Kreis Herzogtum Lauenburg,19293.0,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,18363.0,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,21257.0,Schleswig-Holstein,SH
1053,201601053,2016,Kreis Herzogtum Lauenburg,21795.0,Schleswig-Holstein,SH
1054,200001054,2000,Kreis Nordfriesland,23625.0,Schleswig-Holstein,SH
