,YearSchluessel,Year,Stadt-/Landkreis,BIP je Arbeitsstunde in EUR,LAND_NAME,LAND_ABK
1001,200001001,2000,Flensburg,31.5,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,39.5,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,40.300000000000004,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,43.2,Schleswig-Holstein,SH
1001,201601001,2016,Flensburg,46.800000000000004,Schleswig-Holstein,SH
1002,200001002,2000,Kiel,35.1,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,37.0,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,40.900000000000006,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,46.7,Schleswig-Holstein,SH
1002,201601002,2016,Kiel,49.7,Schleswig-Holstein,SH
1003,200001003,2000,Lübeck,33.5,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,36.7,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,37.1,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,44.5,Schleswig-Holstein,SH
1003,201601003,2016,Lübeck,48.2,Schleswig-Holstein,SH
1004,200001004,2000,Neumünster,32.1,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,35.800000000000004,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,37.0,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,42.2,Schleswig-Holstein,SH
1004,201601004,2016,Neumünster,45.300000000000004,Schleswig-Holstein,SH
1051,200001051,2000,Kreis Dithmarschen,35.4,Schleswig-Holstein,SH
1051,200501051,2005,Kreis Dithmarschen,38.6,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,41.400000000000006,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,48.0,Schleswig-Holstein,SH
1051,201601051,2016,Kreis Dithmarschen,51.7,Schleswig-Holstein,SH
1053,200001053,2000,Kreis Herzogtum Lauenburg,36.2,Schleswig-Holstein,SH
1053,200501053,2005,Kreis Herzogtum Lauenburg,41.2,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,39.2,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,43.7,Schleswig-Holstein,SH
1053,201601053,2016,Kreis Herzogtum Lauenburg,45.1,Schleswig-Holstein,SH
1054,200001054,2000,Kreis Nordfriesland,31.1,Schleswig-Holstein,SH
1054,200501054,2005,Kreis Nordfriesland,34.7,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,39.6,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,42.0,Schleswig-Holstein,SH
1054,201601054,2016,Kreis Nordfriesland,45.300000000000004,Schleswig-Holstein,SH
1055,200001055,2000,Kreis Ostholstein,30.1,Schleswig-Holstein,SH
1055,200501055,2005,Kreis Ostholstein,32.5,Schleswig-Holstein,SH
1055,200901055,2009,Kreis Ostholstein,34.300000000000004,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,38.1,Schleswig-Holstein,SH
1055,201601055,2016,Kreis Ostholstein,41.1,Schleswig-Holstein,SH
1056,200001056,2000,Kreis Pinneberg,35.2,Schleswig-Holstein,SH
1056,200501056,2005,Kreis Pinneberg,41.6,Schleswig-Holstein,SH
1056,200901056,2009,Kreis Pinneberg,43.300000000000004,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,46.900000000000006,Schleswig-Holstein,SH
1056,201601056,2016,Kreis Pinneberg,49.5,Schleswig-Holstein,SH
1057,200001057,2000,Kreis Plön,29.700000000000003,Schleswig-Holstein,SH
1057,200501057,2005,Kreis Plön,34.300000000000004,Schleswig-Holstein,SH
1057,200901057,2009,Kreis Plön,36.9,Schleswig-Holstein,SH
1057,201301057,2013,Kreis Plön,44.1,Schleswig-Holstein,SH
1057,201601057,2016,Kreis Plön,43.6,Schleswig-Holstein,SH
1058,200001058,2000,Kreis Rendsburg-Eckernförde,35.9,Schleswig-Holstein,SH
1058,200501058,2005,Kreis Rendsburg-Eckernförde,38.300000000000004,Schleswig-Holstein,SH
1058,200901058,2009,Kreis Rendsburg-Eckernförde,40.1,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,47.6,Schleswig-Holstein,SH
1058,201601058,2016,Kreis Rendsburg-Eckernförde,49.900000000000006,Schleswig-Holstein,SH
1059,200001059,2000,Kreis Schleswig,31.700000000000003,Schleswig-Holstein,SH
1059,200501059,2005,Kreis Schleswig,34.5,Schleswig-Holstein,SH
1059,200901059,2009,Kreis Schleswig,37.7,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,42.400000000000006,Schleswig-Holstein,SH
1059,201601059,2016,Kreis Schleswig,44.900000000000006,Schleswig-Holstein,SH
1060,200001060,2000,Kreis Segeberg,35.1,Schleswig-Holstein,SH
1060,200501060,2005,Kreis Segeberg,37.4,Schleswig-Holstein,SH
1060,200901060,2009,Kreis Segeberg,41.0,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,45.2,Schleswig-Holstein,SH
1060,201601060,2016,Kreis Segeberg,48.5,Schleswig-Holstein,SH
1061,200001061,2000,Kreis Steinburg,37.7,Schleswig-Holstein,SH
1061,200501061,2005,Kreis Steinburg,44.900000000000006,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,48.1,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,52.300000000000004,Schleswig-Holstein,SH
1061,201601061,2016,Kreis Steinburg,54.900000000000006,Schleswig-Holstein,SH
1062,200001062,2000,Kreis Stormarn,37.7,Schleswig-Holstein,SH
1062,200501062,2005,Kreis Stormarn,41.7,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,42.7,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,46.7,Schleswig-Holstein,SH
1062,201601062,2016,Kreis Stormarn,51.0,Schleswig-Holstein,SH
2000,200002,2000,Hamburg,49.2,Hamburg,HH
2000,200502,2005,Hamburg,56.1,Hamburg,HH
2000,200902,2009,Hamburg,55.6,Hamburg,HH
2000,201302,2013,Hamburg,62.1,Hamburg,HH
2000,201602,2016,Hamburg,66.2,Hamburg,HH
3101,200003101,2000,Braunschweig,33.7,Niedersachsen,NI
3101,200503101,2005,Braunschweig,37.5,Niedersachsen,NI
3101,200903101,2009,Braunschweig,39.900000000000006,Niedersachsen,NI
3101,201303101,2013,Braunschweig,47.800000000000004,Niedersachsen,NI
3101,201603101,2016,Braunschweig,53.0,Niedersachsen,NI
3102,200003102,2000,Salzgitter,36.800000000000004,Niedersachsen,NI
3102,200503102,2005,Salzgitter,43.2,Niedersachsen,NI
3102,200903102,2009,Salzgitter,40.2,Niedersachsen,NI
3102,201303102,2013,Salzgitter,58.6,Niedersachsen,NI
3102,201603102,2016,Salzgitter,63.800000000000004,Niedersachsen,NI
3103,200003103,2000,Wolfsburg,59.0,Niedersachsen,NI
3103,200503103,2005,Wolfsburg,61.0,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,55.2,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,86.80000000000001,Niedersachsen,NI
3103,201603103,2016,Wolfsburg,118.9,Niedersachsen,NI
3151,200003151,2000,Landkreis Gifhorn,29.900000000000002,Niedersachsen,NI
3151,200503151,2005,Landkreis Gifhorn,32.5,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,35.7,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,43.900000000000006,Niedersachsen,NI
3151,201603151,2016,Landkreis Gifhorn,50.6,Niedersachsen,NI
3153,200003153,2000,Landkreis Goslar,31.0,Niedersachsen,NI
3153,200503153,2005,Landkreis Goslar,35.300000000000004,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,37.300000000000004,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,41.800000000000004,Niedersachsen,NI
3153,201603153,2016,Landkreis Goslar,46.900000000000006,Niedersachsen,NI
3154,200003154,2000,Landkreis Helmstedt,32.0,Niedersachsen,NI
3154,200503154,2005,Landkreis Helmstedt,34.1,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,40.0,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,45.900000000000006,Niedersachsen,NI
3154,201603154,2016,Landkreis Helmstedt,46.7,Niedersachsen,NI
3155,200003155,2000,Landkreis Northeim,31.0,Niedersachsen,NI
3155,200503155,2005,Landkreis Northeim,34.1,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,37.7,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,42.5,Niedersachsen,NI
3155,201603155,2016,Landkreis Northeim,45.900000000000006,Niedersachsen,NI
3156,200003156,2000,Landkreis Osterode am Harz,32.9,Niedersachsen,NI
3156,200503156,2005,Landkreis Osterode am Harz,42.6,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,44.900000000000006,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,,Niedersachsen,NI
3156,201603156,2016,Landkreis Osterode am Harz,,Niedersachsen,NI
3157,200003157,2000,Landkreis Peine,30.5,Niedersachsen,NI
3157,200503157,2005,Landkreis Peine,34.4,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,41.300000000000004,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,45.6,Niedersachsen,NI
3157,201603157,2016,Landkreis Peine,47.300000000000004,Niedersachsen,NI
3158,200003158,2000,Landkreis Wolfenbüttel,31.5,Niedersachsen,NI
3158,200503158,2005,Landkreis Wolfenbüttel,34.300000000000004,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,40.1,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,46.6,Niedersachsen,NI
3158,201603158,2016,Landkreis Wolfenbüttel,49.800000000000004,Niedersachsen,NI
3159,200003159,2000,Landkreis Göttingen,,Niedersachsen,NI
3159,200503159,2005,Landkreis Göttingen,,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,44.5,Niedersachsen,NI
3159,201603159,2016,Landkreis Göttingen,47.400000000000006,Niedersachsen,NI
3241,200003241,2000,Hannover,36.7,Niedersachsen,NI
3241,200503241,2005,Hannover,43.5,Niedersachsen,NI
3241,200903241,2009,Hannover,45.400000000000006,Niedersachsen,NI
3241,201303241,2013,Hannover,50.300000000000004,Niedersachsen,NI
3241,201603241,2016,Hannover,54.2,Niedersachsen,NI
3251,200003251,2000,Landkreis Diepholz,33.4,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,36.2,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,39.2,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,44.800000000000004,Niedersachsen,NI
3251,201603251,2016,Landkreis Diepholz,48.300000000000004,Niedersachsen,NI
3252,200003252,2000,Landkreis Hameln-Pyrmont,34.1,Niedersachsen,NI
3252,200503252,2005,Landkreis Hameln-Pyrmont,37.6,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,44.2,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,48.6,Niedersachsen,NI
3252,201603252,2016,Landkreis Hameln-Pyrmont,51.5,Niedersachsen,NI
3254,200003254,2000,Landkreis Hildesheim,30.6,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,35.4,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,38.300000000000004,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,42.1,Niedersachsen,NI
3254,201603254,2016,Landkreis Hildesheim,45.2,Niedersachsen,NI
