,YearSchluessel,Year,Stadt-/Landkreis,Wanderungssaldo je 10.000 Einwohner,LAND_NAME,LAND_ABK
1001,199501001,1995,Flensburg,-64.9,Schleswig-Holstein,SH
1001,200001001,2000,Flensburg,-4.5,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,58.6,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,-7.6000000000000005,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,86.10000000000001,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,144.1,Schleswig-Holstein,SH
1002,199501002,1995,Kiel,-5.4,Schleswig-Holstein,SH
1002,200001002,2000,Kiel,-33.0,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,60.5,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,42.400000000000006,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,74.7,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,15.600000000000001,Schleswig-Holstein,SH
1003,199501003,1995,Lübeck,45.7,Schleswig-Holstein,SH
1003,200001003,2000,Lübeck,30.1,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,33.7,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,-11.0,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,102.9,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,17.0,Schleswig-Holstein,SH
1004,199501004,1995,Neumünster,21.900000000000002,Schleswig-Holstein,SH
1004,200001004,2000,Neumünster,-37.7,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,-28.0,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,10.9,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,51.0,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,10.200000000000001,Schleswig-Holstein,SH
1051,199501051,1995,Kreis Dithmarschen,57.1,Schleswig-Holstein,SH
1051,200001051,2000,Kreis Dithmarschen,24.3,Schleswig-Holstein,SH
1051,200501051,2005,Kreis Dithmarschen,18.5,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,12.200000000000001,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,33.2,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,46.400000000000006,Schleswig-Holstein,SH
1053,199501053,1995,Kreis Herzogtum Lauenburg,129.1,Schleswig-Holstein,SH
1053,200001053,2000,Kreis Herzogtum Lauenburg,129.4,Schleswig-Holstein,SH
