,YearSchluessel,Year,Stadt-/Landkreis,Mindestsicherungsquote in %,LAND_NAME,LAND_ABK
1001,201301001,2013,Flensburg,15.3,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,16.5,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,15.5,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,16.7,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,15.5,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,15.600000000000001,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,16.2,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,17.0,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,10.100000000000001,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,11.0,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,8.200000000000001,Schleswig-Holstein,SH
1053,201701053,2017,Kreis Herzogtum Lauenburg,8.700000000000001,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,7.1000000000000005,Schleswig-Holstein,SH
1054,201701054,2017,Kreis Nordfriesland,7.800000000000001,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,8.200000000000001,Schleswig-Holstein,SH
1055,201701055,2017,Kreis Ostholstein,8.3,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,7.4,Schleswig-Holstein,SH
1056,201701056,2017,Kreis Pinneberg,8.700000000000001,Schleswig-Holstein,SH
1057,201301057,2013,Kreis Plön,6.9,Schleswig-Holstein,SH
1057,201701057,2017,Kreis Plön,7.800000000000001,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,7.2,Schleswig-Holstein,SH
1058,201701058,2017,Kreis Rendsburg-Eckernförde,7.800000000000001,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,8.8,Schleswig-Holstein,SH
1059,201701059,2017,Kreis Schleswig,8.9,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,6.800000000000001,Schleswig-Holstein,SH
1060,201701060,2017,Kreis Segeberg,7.7,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,8.4,Schleswig-Holstein,SH
1061,201701061,2017,Kreis Steinburg,9.9,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,5.1000000000000005,Schleswig-Holstein,SH
1062,201701062,2017,Kreis Stormarn,6.2,Schleswig-Holstein,SH
2000,201302,2013,Hamburg,13.0,Hamburg,HH
2000,201702,2017,Hamburg,13.4,Hamburg,HH
