Schluessel,YearSchluessel,Year,Stadt-/Landkreis,Durchschnittsalter Gesamtbevölkerung,Durchschnittsalter weibliche Bevölkerung,Durchschnittsalter männliche Bevölkerung,Anteil Personen mit MHG an der Gesamtbevölkerung in %,Anteil Personen mit MHG 0 bis 19 Jahre in %,Anteil Personen mit MHG 20 bis 59 Jahre in %,Anteil Personen mit MHG 60 Jahre und älter in %,LAND_NAME,LAND_ABK
1001,201101001,2011,Flensburg,42.7,44.6,40.800000000000004,16.0,20.8,18.3,7.9,Schleswig-Holstein,SH
1002,201101002,2011,Kiel,41.300000000000004,42.5,40.0,18.900000000000002,30.200000000000003,19.900000000000002,8.4,Schleswig-Holstein,SH
1003,201101003,2011,Lübeck,44.2,45.800000000000004,42.5,16.8,23.3,18.5,9.8,Schleswig-Holstein,SH
1004,201101004,2011,Neumünster,43.5,45.0,41.900000000000006,16.900000000000002,26.3,18.400000000000002,7.7,Schleswig-Holstein,SH
1051,201101051,2011,Kreis Dithmarschen,44.1,45.400000000000006,42.800000000000004,7.0,9.600000000000001,8.200000000000001,3.1,Schleswig-Holstein,SH
1053,201101053,2011,Kreis Herzogtum Lauenburg,43.6,44.800000000000004,42.300000000000004,12.600000000000001,16.8,14.100000000000001,6.800000000000001,Schleswig-Holstein,SH
1054,201101054,2011,Kreis Nordfriesland,43.800000000000004,45.1,42.300000000000004,8.5,11.700000000000001,10.100000000000001,3.3000000000000003,Schleswig-Holstein,SH
1055,201101055,2011,Kreis Ostholstein,46.1,47.400000000000006,44.7,8.0,10.8,9.4,4.2,Schleswig-Holstein,SH
1056,201101056,2011,Kreis Pinneberg,43.6,44.800000000000004,42.300000000000004,15.0,20.700000000000003,16.900000000000002,7.2,Schleswig-Holstein,SH
1057,201101057,2011,Kreis Plön,45.0,46.2,43.7,6.9,9.8,7.7,3.7,Schleswig-Holstein,SH
1058,201101058,2011,Kreis Rendsburg-Eckernförde,43.5,44.7,42.300000000000004,8.5,11.4,9.600000000000001,4.2,Schleswig-Holstein,SH
1059,201101059,2011,Kreis Schleswig,43.5,44.6,42.300000000000004,7.5,9.3,8.700000000000001,4.0,Schleswig-Holstein,SH
1060,201101060,2011,Kreis Segeberg,43.0,44.1,41.900000000000006,13.5,17.2,15.4,6.9,Schleswig-Holstein,SH
1061,201101061,2011,Kreis Steinburg,43.6,44.800000000000004,42.400000000000006,9.600000000000001,14.100000000000001,10.3,5.1000000000000005,Schleswig-Holstein,SH
1062,201101062,2011,Kreis Stormarn,43.900000000000006,44.900000000000006,42.7,12.8,17.1,14.700000000000001,6.1000000000000005,Schleswig-Holstein,SH
2000,201102,2011,Hamburg,41.900000000000006,43.2,40.6,28.3,39.800000000000004,30.700000000000003,14.3,Hamburg,HH
3101,201103101,2011,Braunschweig,43.0,44.7,41.2,21.400000000000002,30.200000000000003,24.1,10.0,Niedersachsen,NI
3102,201103102,2011,Salzgitter,44.6,46.300000000000004,42.900000000000006,28.200000000000003,41.2,30.5,16.2,Niedersachsen,NI
3103,201103103,2011,Wolfsburg,44.2,45.400000000000006,42.900000000000006,30.900000000000002,39.900000000000006,34.4,18.900000000000002,Niedersachsen,NI
3151,201103151,2011,Landkreis Gifhorn,41.900000000000006,42.900000000000006,41.0,20.400000000000002,27.700000000000003,21.1,11.9,Niedersachsen,NI
3153,201103153,2011,Landkreis Goslar,46.6,48.6,44.5,12.600000000000001,17.400000000000002,14.600000000000001,7.0,Niedersachsen,NI
3154,201103154,2011,Landkreis Helmstedt,45.1,46.5,43.5,10.200000000000001,13.5,11.700000000000001,5.4,Niedersachsen,NI
3155,201103155,2011,Landkreis Northeim,45.400000000000006,47.0,43.7,12.5,19.700000000000003,13.4,6.6000000000000005,Niedersachsen,NI
3156,201103156,2011,Landkreis Osterode am Harz,47.0,48.7,45.2,11.600000000000001,19.200000000000003,13.200000000000001,5.2,Niedersachsen,NI
3157,201103157,2011,Landkreis Peine,43.300000000000004,44.7,41.800000000000004,13.9,20.5,15.4,5.6000000000000005,Niedersachsen,NI
3158,201103158,2011,Landkreis Wolfenbüttel,44.400000000000006,45.7,43.0,11.8,17.6,13.4,5.0,Niedersachsen,NI
3159,201103159,2011,Landkreis Göttingen,,,,,,,,Niedersachsen,NI
3241,201103241,2011,Hannover,43.2,44.5,41.900000000000006,24.1,34.1,26.200000000000003,12.700000000000001,Niedersachsen,NI
3241001,201103241001,2011,Landeshauptstadt Hannover,42.300000000000004,43.7,40.800000000000004,30.6,45.5,31.8,17.6,Niedersachsen,NI
3251,201103251,2011,Landkreis Diepholz,43.6,44.800000000000004,42.300000000000004,12.9,19.0,14.5,5.2,Niedersachsen,NI
