Schluessel,YearSchluessel,Year,Stadt-/Landkreis,Erwerbslosenquote in %,Erwerbstätigenquote in %,Erwerbstätigenquote Frauen in %,Erwerbstätigenquote Männer in %,LAND_NAME,LAND_ABK
1001,201101001,2011,Flensburg,6.7,72.0,68.2,75.8,Schleswig-Holstein,SH
1002,201101002,2011,Kiel,7.7,70.0,67.0,73.2,Schleswig-Holstein,SH
1003,201101003,2011,Lübeck,7.4,70.9,68.4,73.5,Schleswig-Holstein,SH
1004,201101004,2011,Neumünster,7.1000000000000005,71.9,65.8,77.9,Schleswig-Holstein,SH
1051,201101051,2011,Kreis Dithmarschen,5.7,71.9,66.5,77.5,Schleswig-Holstein,SH
1053,201101053,2011,Kreis Herzogtum Lauenburg,4.0,77.7,73.3,82.10000000000001,Schleswig-Holstein,SH
1054,201101054,2011,Kreis Nordfriesland,3.6,77.80000000000001,73.8,81.9,Schleswig-Holstein,SH
1055,201101055,2011,Kreis Ostholstein,4.0,76.5,72.8,80.2,Schleswig-Holstein,SH
1056,201101056,2011,Kreis Pinneberg,3.8000000000000003,78.0,73.9,82.30000000000001,Schleswig-Holstein,SH
1057,201101057,2011,Kreis Plön,4.2,76.3,71.5,81.30000000000001,Schleswig-Holstein,SH
1058,201101058,2011,Kreis Rendsburg-Eckernförde,3.9000000000000004,76.0,71.7,80.30000000000001,Schleswig-Holstein,SH
1059,201101059,2011,Kreis Schleswig,4.4,75.4,70.7,80.2,Schleswig-Holstein,SH
1060,201101060,2011,Kreis Segeberg,3.4000000000000004,78.2,73.7,83.0,Schleswig-Holstein,SH
1061,201101061,2011,Kreis Steinburg,5.0,74.9,69.5,80.4,Schleswig-Holstein,SH
1062,201101062,2011,Kreis Stormarn,3.0,79.10000000000001,74.0,84.30000000000001,Schleswig-Holstein,SH
2000,201102,2011,Hamburg,5.800000000000001,75.5,72.5,78.5,Hamburg,HH
3101,201103101,2011,Braunschweig,6.1000000000000005,73.7,69.4,77.9,Niedersachsen,NI
3102,201103102,2011,Salzgitter,7.300000000000001,66.4,58.800000000000004,73.9,Niedersachsen,NI
3103,201103103,2011,Wolfsburg,4.7,74.10000000000001,69.2,78.80000000000001,Niedersachsen,NI
3151,201103151,2011,Landkreis Gifhorn,4.0,74.2,67.2,81.10000000000001,Niedersachsen,NI
3153,201103153,2011,Landkreis Goslar,6.6000000000000005,72.10000000000001,69.0,75.2,Niedersachsen,NI
3154,201103154,2011,Landkreis Helmstedt,4.800000000000001,71.9,66.3,77.4,Niedersachsen,NI
3155,201103155,2011,Landkreis Northeim,4.9,73.5,70.3,76.60000000000001,Niedersachsen,NI
3156,201103156,2011,Landkreis Osterode am Harz,5.7,71.7,65.8,77.60000000000001,Niedersachsen,NI
3157,201103157,2011,Landkreis Peine,4.6000000000000005,72.5,66.7,78.30000000000001,Niedersachsen,NI
3158,201103158,2011,Landkreis Wolfenbüttel,4.6000000000000005,74.8,69.8,79.7,Niedersachsen,NI
3159,201103159,2011,Landkreis Göttingen,,,,,Niedersachsen,NI
3241,201103241,2011,Hannover,5.300000000000001,74.7,71.4,78.10000000000001,Niedersachsen,NI
3241001,201103241001,2011,Landeshauptstadt Hannover,6.4,73.60000000000001,71.10000000000001,76.10000000000001,Niedersachsen,NI
3251,201103251,2011,Landkreis Diepholz,3.2,78.2,73.0,83.30000000000001,Niedersachsen,NI
3252,201103252,2011,Landkreis Hameln-Pyrmont,5.4,73.0,69.0,77.10000000000001,Niedersachsen,NI
3254,201103254,2011,Landkreis Hildesheim,5.9,72.4,68.2,76.7,Niedersachsen,NI
3255,201103255,2011,Landkreis Holzminden,6.4,70.10000000000001,64.60000000000001,75.5,Niedersachsen,NI
