,YearSchluessel,Year,Stadt-/Landkreis,Bevölkerung 0 bis 17 Jahre in %,Bevölkerung 18 bis 24 Jahre in %,Bevölkerung 25 bis 44 Jahre in %,Bevölkerung 45 bis 64 Jahre in %,Bevölkerung 65 Jahre und älter in %,LAND_NAME,LAND_ABK
1001,199501001,1995,Flensburg,17.6,9.3,31.400000000000002,24.3,17.400000000000002,Schleswig-Holstein,SH
1001,200001001,2000,Flensburg,17.6,9.700000000000001,30.0,25.200000000000003,17.6,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,16.5,11.3,29.200000000000003,23.900000000000002,19.1,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,15.4,11.700000000000001,29.1,24.3,19.6,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,15.100000000000001,11.5,25.8,27.0,20.6,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,15.4,11.9,26.200000000000003,26.200000000000003,20.200000000000003,Schleswig-Holstein,SH
1002,199501002,1995,Kiel,15.3,9.1,36.2,23.0,16.400000000000002,Schleswig-Holstein,SH
1002,200001002,2000,Kiel,15.4,8.9,34.7,24.5,16.5,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,15.200000000000001,10.100000000000001,32.6,24.3,17.8,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,14.5,10.8,30.900000000000002,25.5,18.5,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,14.3,11.4,30.1,25.8,18.400000000000002,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,14.700000000000001,11.0,30.0,25.8,18.5,Schleswig-Holstein,SH
1003,199501003,1995,Lübeck,16.5,8.1,30.6,25.700000000000003,19.1,Schleswig-Holstein,SH
1003,200001003,2000,Lübeck,16.6,7.800000000000001,29.900000000000002,26.0,19.700000000000003,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,16.3,8.3,28.400000000000002,25.1,21.900000000000002,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,15.700000000000001,8.8,26.6,25.900000000000002,23.1,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,15.0,8.4,25.3,28.3,23.1,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,15.200000000000001,8.200000000000001,24.900000000000002,28.5,23.200000000000003,Schleswig-Holstein,SH
1004,199501004,1995,Neumünster,18.900000000000002,8.3,30.0,25.5,17.2,Schleswig-Holstein,SH
1004,200001004,2000,Neumünster,19.3,7.800000000000001,29.1,26.0,17.900000000000002,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,18.8,8.0,27.5,25.200000000000003,20.5,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,17.8,8.9,25.200000000000003,26.200000000000003,21.900000000000002,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,16.5,8.5,23.3,29.3,22.400000000000002,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,16.6,8.200000000000001,23.6,29.0,22.6,Schleswig-Holstein,SH
1051,199501051,1995,Kreis Dithmarschen,20.0,7.9,29.0,25.700000000000003,17.3,Schleswig-Holstein,SH
1051,200001051,2000,Kreis Dithmarschen,20.5,7.2,28.200000000000003,26.0,18.1,Schleswig-Holstein,SH
1051,200501051,2005,Kreis Dithmarschen,19.700000000000003,7.2,26.0,25.8,21.3,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,18.3,7.7,23.6,27.400000000000002,23.1,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,16.900000000000002,7.6000000000000005,21.200000000000003,30.8,23.5,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,16.0,7.800000000000001,20.3,31.200000000000003,24.6,Schleswig-Holstein,SH
1053,199501053,1995,Kreis Herzogtum Lauenburg,19.5,7.300000000000001,30.400000000000002,26.700000000000003,16.1,Schleswig-Holstein,SH
1053,200001053,2000,Kreis Herzogtum Lauenburg,20.200000000000003,6.7,30.0,26.5,16.7,Schleswig-Holstein,SH
1053,200501053,2005,Kreis Herzogtum Lauenburg,19.8,6.7,28.0,25.900000000000002,19.6,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,18.400000000000002,7.2,25.200000000000003,27.6,21.6,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,17.5,6.9,22.5,31.200000000000003,22.0,Schleswig-Holstein,SH
1053,201701053,2017,Kreis Herzogtum Lauenburg,17.400000000000002,6.800000000000001,22.1,31.400000000000002,22.3,Schleswig-Holstein,SH
1054,199501054,1995,Kreis Nordfriesland,19.900000000000002,8.4,29.8,25.3,16.5,Schleswig-Holstein,SH
1054,200001054,2000,Kreis Nordfriesland,20.400000000000002,7.4,29.200000000000003,25.700000000000003,17.3,Schleswig-Holstein,SH
1054,200501054,2005,Kreis Nordfriesland,19.900000000000002,7.300000000000001,27.400000000000002,25.200000000000003,20.3,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,18.2,7.800000000000001,25.1,26.8,22.200000000000003,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,16.8,7.800000000000001,21.6,30.700000000000003,23.1,Schleswig-Holstein,SH
1054,201701054,2017,Kreis Nordfriesland,16.0,7.800000000000001,21.400000000000002,30.900000000000002,23.900000000000002,Schleswig-Holstein,SH
1055,199501055,1995,Kreis Ostholstein,17.8,7.7,29.400000000000002,26.8,18.3,Schleswig-Holstein,SH
1055,200001055,2000,Kreis Ostholstein,17.8,6.800000000000001,28.3,27.8,19.3,Schleswig-Holstein,SH
1055,200501055,2005,Kreis Ostholstein,17.1,6.6000000000000005,26.1,27.3,22.900000000000002,Schleswig-Holstein,SH
1055,200901055,2009,Kreis Ostholstein,15.700000000000001,6.800000000000001,23.400000000000002,28.700000000000003,25.400000000000002,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,15.100000000000001,6.6000000000000005,20.3,31.8,26.200000000000003,Schleswig-Holstein,SH
1055,201701055,2017,Kreis Ostholstein,14.600000000000001,6.4,19.5,32.2,27.3,Schleswig-Holstein,SH
1056,199501056,1995,Kreis Pinneberg,18.0,7.2,31.8,28.3,14.700000000000001,Schleswig-Holstein,SH
1056,200001056,2000,Kreis Pinneberg,18.7,6.7,30.700000000000003,27.900000000000002,16.1,Schleswig-Holstein,SH
1056,200501056,2005,Kreis Pinneberg,18.5,6.7,28.700000000000003,26.700000000000003,19.3,Schleswig-Holstein,SH
1056,200901056,2009,Kreis Pinneberg,17.6,7.2,26.0,27.8,21.3,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,17.1,7.0,23.400000000000002,30.6,21.900000000000002,Schleswig-Holstein,SH
1056,201701056,2017,Kreis Pinneberg,17.0,7.2,22.900000000000002,30.8,22.1,Schleswig-Holstein,SH
1057,199501057,1995,Kreis Plön,18.6,8.1,30.6,26.900000000000002,15.8,Schleswig-Holstein,SH
1057,200001057,2000,Kreis Plön,19.1,6.6000000000000005,30.6,27.200000000000003,16.5,Schleswig-Holstein,SH
1057,200501057,2005,Kreis Plön,18.5,6.1000000000000005,28.8,26.5,20.1,Schleswig-Holstein,SH
1057,200901057,2009,Kreis Plön,17.0,6.6000000000000005,25.700000000000003,27.900000000000002,22.700000000000003,Schleswig-Holstein,SH
1057,201301057,2013,Kreis Plön,16.5,6.6000000000000005,20.0,32.0,24.900000000000002,Schleswig-Holstein,SH
1057,201701057,2017,Kreis Plön,16.0,6.6000000000000005,19.400000000000002,32.2,25.8,Schleswig-Holstein,SH
1058,199501058,1995,Kreis Rendsburg-Eckernförde,19.8,8.0,30.5,26.5,15.200000000000001,Schleswig-Holstein,SH
1058,200001058,2000,Kreis Rendsburg-Eckernförde,20.400000000000002,7.0,29.8,27.0,15.8,Schleswig-Holstein,SH
1058,200501058,2005,Kreis Rendsburg-Eckernförde,20.0,6.9,27.6,26.400000000000002,19.1,Schleswig-Holstein,SH
1058,200901058,2009,Kreis Rendsburg-Eckernförde,18.7,7.300000000000001,24.700000000000003,28.0,21.200000000000003,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,17.6,7.0,21.5,31.6,22.3,Schleswig-Holstein,SH
1058,201701058,2017,Kreis Rendsburg-Eckernförde,17.0,7.1000000000000005,20.700000000000003,32.0,23.200000000000003,Schleswig-Holstein,SH
1059,199501059,1995,Kreis Schleswig,21.0,7.9,30.0,25.8,15.3,Schleswig-Holstein,SH
1059,200001059,2000,Kreis Schleswig,21.3,7.2,29.200000000000003,26.1,16.1,Schleswig-Holstein,SH
1059,200501059,2005,Kreis Schleswig,20.5,6.9,27.3,25.700000000000003,19.6,Schleswig-Holstein,SH
1059,200901059,2009,Kreis Schleswig,18.900000000000002,7.5,24.6,27.5,21.5,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,17.7,7.300000000000001,21.3,31.1,22.700000000000003,Schleswig-Holstein,SH
1059,201701059,2017,Kreis Schleswig,17.1,7.1000000000000005,20.900000000000002,31.3,23.6,Schleswig-Holstein,SH
1060,199501060,1995,Kreis Segeberg,19.6,7.6000000000000005,31.8,27.900000000000002,13.100000000000001,Schleswig-Holstein,SH
1060,200001060,2000,Kreis Segeberg,20.0,7.1000000000000005,30.900000000000002,27.8,14.200000000000001,Schleswig-Holstein,SH
1060,200501060,2005,Kreis Segeberg,19.5,6.9,29.0,26.900000000000002,17.7,Schleswig-Holstein,SH
1060,200901060,2009,Kreis Segeberg,18.2,7.4,26.400000000000002,27.900000000000002,20.1,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,17.2,6.9,23.700000000000003,31.0,21.200000000000003,Schleswig-Holstein,SH
1060,201701060,2017,Kreis Segeberg,17.0,7.1000000000000005,23.1,31.0,21.700000000000003,Schleswig-Holstein,SH
1061,199501061,1995,Kreis Steinburg,19.900000000000002,7.5,30.8,25.900000000000002,15.9,Schleswig-Holstein,SH
1061,200001061,2000,Kreis Steinburg,20.700000000000003,6.7,30.200000000000003,26.0,16.400000000000002,Schleswig-Holstein,SH
1061,200501061,2005,Kreis Steinburg,20.0,7.0,28.1,25.5,19.3,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,18.2,7.800000000000001,25.0,27.8,21.200000000000003,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,16.900000000000002,7.5,21.6,32.0,22.0,Schleswig-Holstein,SH
1061,201701061,2017,Kreis Steinburg,16.400000000000002,7.4,20.900000000000002,32.6,22.6,Schleswig-Holstein,SH
1062,199501062,1995,Kreis Stormarn,18.3,7.0,30.6,29.400000000000002,14.9,Schleswig-Holstein,SH
1062,200001062,2000,Kreis Stormarn,18.8,6.5,29.400000000000002,29.1,16.2,Schleswig-Holstein,SH
1062,200501062,2005,Kreis Stormarn,18.7,6.2,27.700000000000003,27.5,19.8,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,18.1,6.6000000000000005,25.200000000000003,28.3,21.900000000000002,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,17.5,6.4,22.6,31.0,22.5,Schleswig-Holstein,SH
1062,201701062,2017,Kreis Stormarn,17.3,6.7,21.8,31.200000000000003,23.0,Schleswig-Holstein,SH
2000,199502,1995,Hamburg,16.0,7.9,33.2,25.900000000000002,17.0,Hamburg,HH
2000,200002,2000,Hamburg,16.1,7.9,33.6,25.400000000000002,16.900000000000002,Hamburg,HH
2000,200502,2005,Hamburg,15.700000000000001,8.200000000000001,33.4,24.3,18.3,Hamburg,HH
2000,200902,2009,Hamburg,15.3,8.3,32.5,25.0,19.0,Hamburg,HH
2000,201302,2013,Hamburg,15.8,8.0,30.700000000000003,26.5,18.900000000000002,Hamburg,HH
2000,201702,2017,Hamburg,16.5,8.0,30.700000000000003,26.400000000000002,18.400000000000002,Hamburg,HH
3101,199503101,1995,Braunschweig,15.5,8.1,32.7,25.0,18.6,Niedersachsen,NI
3101,200003101,2000,Braunschweig,15.5,8.200000000000001,31.700000000000003,25.6,18.900000000000002,Niedersachsen,NI
3101,200503101,2005,Braunschweig,15.0,8.6,30.8,24.900000000000002,20.6,Niedersachsen,NI
3101,200903101,2009,Braunschweig,14.600000000000001,9.1,29.400000000000002,25.6,21.3,Niedersachsen,NI
3101,201303101,2013,Braunschweig,14.5,9.1,28.700000000000003,26.900000000000002,20.900000000000002,Niedersachsen,NI
3101,201703101,2017,Braunschweig,14.600000000000001,8.9,28.6,26.900000000000002,21.0,Niedersachsen,NI
3102,199503102,1995,Salzgitter,18.900000000000002,7.9,30.3,26.200000000000003,16.7,Niedersachsen,NI
3102,200003102,2000,Salzgitter,18.900000000000002,7.5,28.0,26.900000000000002,18.7,Niedersachsen,NI
3102,200503102,2005,Salzgitter,18.1,7.7,25.8,26.6,21.8,Niedersachsen,NI
3102,200903102,2009,Salzgitter,16.8,8.200000000000001,23.400000000000002,28.200000000000003,23.3,Niedersachsen,NI
3102,201303102,2013,Salzgitter,16.3,7.9,21.8,30.1,23.900000000000002,Niedersachsen,NI
3102,201703102,2017,Salzgitter,17.6,8.200000000000001,22.900000000000002,28.5,22.8,Niedersachsen,NI
3103,199503103,1995,Wolfsburg,18.5,7.6000000000000005,29.700000000000003,27.8,16.3,Niedersachsen,NI
3103,200003103,2000,Wolfsburg,17.3,7.9,27.900000000000002,27.8,19.0,Niedersachsen,NI
3103,200503103,2005,Wolfsburg,16.400000000000002,8.1,26.900000000000002,26.200000000000003,22.400000000000002,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,15.5,8.200000000000001,26.200000000000003,26.400000000000002,23.700000000000003,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,15.3,7.800000000000001,26.400000000000002,28.0,22.5,Niedersachsen,NI
3103,201703103,2017,Wolfsburg,16.3,7.1000000000000005,26.6,27.700000000000003,22.3,Niedersachsen,NI
3151,199503151,1995,Landkreis Gifhorn,23.0,7.7,32.4,23.8,13.100000000000001,Niedersachsen,NI
3151,200003151,2000,Landkreis Gifhorn,22.8,7.4,31.200000000000003,24.5,14.100000000000001,Niedersachsen,NI
3151,200503151,2005,Landkreis Gifhorn,21.5,7.800000000000001,28.400000000000002,25.700000000000003,16.6,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,19.700000000000003,8.1,25.200000000000003,28.700000000000003,18.3,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,18.3,7.6000000000000005,23.1,32.300000000000004,18.7,Niedersachsen,NI
3151,201703151,2017,Landkreis Gifhorn,17.900000000000002,7.4,22.700000000000003,32.1,19.8,Niedersachsen,NI
3153,199503153,1995,Landkreis Goslar,16.400000000000002,7.7,29.6,25.5,20.8,Niedersachsen,NI
3153,200003153,2000,Landkreis Goslar,16.5,7.1000000000000005,28.1,26.5,21.8,Niedersachsen,NI
3153,200503153,2005,Landkreis Goslar,15.8,7.2,26.0,26.3,24.700000000000003,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,14.5,7.4,23.3,28.400000000000002,26.3,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,13.8,7.7,21.1,30.700000000000003,26.8,Niedersachsen,NI
3153,201703153,2017,Landkreis Goslar,13.700000000000001,7.7,20.5,31.0,27.200000000000003,Niedersachsen,NI
3154,199503154,1995,Landkreis Helmstedt,19.200000000000003,7.2,30.1,25.400000000000002,18.1,Niedersachsen,NI
3154,200003154,2000,Landkreis Helmstedt,19.1,7.1000000000000005,28.6,26.200000000000003,19.0,Niedersachsen,NI
3154,200503154,2005,Landkreis Helmstedt,17.900000000000002,7.2,26.6,26.8,21.5,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,16.3,7.7,24.0,29.3,22.700000000000003,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,15.200000000000001,7.2,21.8,32.5,23.200000000000003,Niedersachsen,NI
3154,201703154,2017,Landkreis Helmstedt,15.700000000000001,6.800000000000001,22.3,32.0,23.200000000000003,Niedersachsen,NI
3155,199503155,1995,Landkreis Northeim,18.8,7.7,29.5,25.200000000000003,18.7,Niedersachsen,NI
3155,200003155,2000,Landkreis Northeim,18.900000000000002,7.1000000000000005,28.3,25.900000000000002,19.8,Niedersachsen,NI
3155,200503155,2005,Landkreis Northeim,18.1,7.2,25.8,26.3,22.5,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,16.6,7.5,23.3,28.900000000000002,23.8,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,15.600000000000001,7.0,20.8,32.4,24.1,Niedersachsen,NI
3155,201703155,2017,Landkreis Northeim,15.200000000000001,7.1000000000000005,20.200000000000003,32.300000000000004,25.3,Niedersachsen,NI
3156,199503156,1995,Landkreis Osterode am Harz,17.8,7.5,27.700000000000003,26.3,20.700000000000003,Niedersachsen,NI
3156,200003156,2000,Landkreis Osterode am Harz,17.7,6.7,26.700000000000003,27.0,21.900000000000002,Niedersachsen,NI
3156,200503156,2005,Landkreis Osterode am Harz,16.8,6.9,24.400000000000002,27.200000000000003,24.700000000000003,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,15.5,6.9,22.200000000000003,28.700000000000003,26.5,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,14.4,6.2,19.700000000000003,32.300000000000004,27.400000000000002,Niedersachsen,NI
3156,201703156,2017,Landkreis Osterode am Harz,,,,,,Niedersachsen,NI
3157,199503157,1995,Landkreis Peine,19.5,7.6000000000000005,30.700000000000003,25.8,16.400000000000002,Niedersachsen,NI
3157,200003157,2000,Landkreis Peine,20.200000000000003,6.800000000000001,30.200000000000003,25.8,16.900000000000002,Niedersachsen,NI
3157,200503157,2005,Landkreis Peine,19.900000000000002,7.1000000000000005,28.0,25.8,19.400000000000002,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,18.7,7.300000000000001,25.3,27.900000000000002,20.8,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,17.7,7.1000000000000005,22.6,31.6,21.0,Niedersachsen,NI
3157,201703157,2017,Landkreis Peine,17.6,7.300000000000001,21.900000000000002,31.8,21.400000000000002,Niedersachsen,NI
3158,199503158,1995,Landkreis Wolfenbüttel,18.8,7.300000000000001,30.700000000000003,26.700000000000003,16.6,Niedersachsen,NI
3158,200003158,2000,Landkreis Wolfenbüttel,19.400000000000002,6.7,30.0,26.8,17.1,Niedersachsen,NI
3158,200503158,2005,Landkreis Wolfenbüttel,18.900000000000002,6.7,27.5,26.900000000000002,20.1,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,17.400000000000002,7.2,24.3,28.900000000000002,22.200000000000003,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,16.3,7.300000000000001,21.5,32.1,22.8,Niedersachsen,NI
3158,201703158,2017,Landkreis Wolfenbüttel,15.8,7.6000000000000005,21.1,32.2,23.400000000000002,Niedersachsen,NI
3159,199503159,1995,Landkreis Göttingen,,,,,,Niedersachsen,NI
3159,200003159,2000,Landkreis Göttingen,,,,,,Niedersachsen,NI
3159,200503159,2005,Landkreis Göttingen,,,,,,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,,,,,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,,,,,,Niedersachsen,NI
3159,201703159,2017,Landkreis Göttingen,15.200000000000001,9.4,23.8,29.200000000000003,22.3,Niedersachsen,NI
3241,199503241,1995,Hannover,16.900000000000002,7.9,32.4,26.200000000000003,16.6,Niedersachsen,NI
3241,200003241,2000,Hannover,17.2,7.7,31.400000000000002,26.3,17.3,Niedersachsen,NI
3241,200503241,2005,Hannover,16.900000000000002,7.800000000000001,29.8,25.8,19.8,Niedersachsen,NI
3241,200903241,2009,Hannover,16.3,7.9,27.8,27.0,21.1,Niedersachsen,NI
3241,201303241,2013,Hannover,16.2,7.800000000000001,26.0,29.0,21.0,Niedersachsen,NI
3241,201703241,2017,Hannover,16.5,8.1,25.700000000000003,28.700000000000003,21.1,Niedersachsen,NI
3251,199503251,1995,Landkreis Diepholz,19.8,7.6000000000000005,31.200000000000003,25.8,15.600000000000001,Niedersachsen,NI
3251,200003251,2000,Landkreis Diepholz,20.200000000000003,6.7,30.3,26.200000000000003,16.5,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,19.6,7.0,27.8,26.3,19.3,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,18.2,7.4,25.1,28.6,20.900000000000002,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,17.1,7.300000000000001,22.200000000000003,32.0,21.400000000000002,Niedersachsen,NI
3251,201703251,2017,Landkreis Diepholz,16.7,7.4,21.6,32.1,22.200000000000003,Niedersachsen,NI
3252,199503252,1995,Landkreis Hameln-Pyrmont,18.0,7.2,29.3,25.6,19.900000000000002,Niedersachsen,NI
3252,200003252,2000,Landkreis Hameln-Pyrmont,18.400000000000002,7.0,28.0,26.1,20.5,Niedersachsen,NI
3252,200503252,2005,Landkreis Hameln-Pyrmont,18.0,7.1000000000000005,25.8,26.1,23.0,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,16.6,7.7,23.400000000000002,27.900000000000002,24.400000000000002,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,15.5,7.300000000000001,21.0,31.400000000000002,24.8,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,15.700000000000001,7.1000000000000005,20.5,31.3,25.400000000000002,Niedersachsen,NI
3254,199503254,1995,Landkreis Hildesheim,18.6,7.800000000000001,30.6,25.3,17.7,Niedersachsen,NI
3254,200003254,2000,Landkreis Hildesheim,18.8,7.300000000000001,29.700000000000003,25.900000000000002,18.400000000000002,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,18.3,7.4,27.5,25.900000000000002,20.900000000000002,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,17.0,8.200000000000001,24.700000000000003,27.8,22.400000000000002,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,16.0,8.1,22.3,30.900000000000002,22.700000000000003,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,15.600000000000001,8.4,22.0,30.700000000000003,23.200000000000003,Niedersachsen,NI
3255,199503255,1995,Landkreis Holzminden,19.200000000000003,7.6000000000000005,28.200000000000003,25.6,19.400000000000002,Niedersachsen,NI
3255,200003255,2000,Landkreis Holzminden,19.1,7.2,26.900000000000002,26.200000000000003,20.5,Niedersachsen,NI
3255,200503255,2005,Landkreis Holzminden,18.2,7.4,24.900000000000002,25.8,23.6,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,16.6,7.7,22.8,27.8,25.0,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,15.5,7.6000000000000005,20.6,31.200000000000003,25.1,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,15.200000000000001,7.5,20.1,31.3,26.0,Niedersachsen,NI
3256,199503256,1995,Landkreis Nienburg (Weser),20.8,7.9,30.700000000000003,23.900000000000002,16.6,Niedersachsen,NI
