,YearSchluessel,Year,Stadt-/Landkreis,Wanderungssaldo je 10 000: Männer 18 bis 29 Jahre,Wanderungssaldo je 10.000: Frauen 18 bis 29 Jahre,LAND_NAME,LAND_ABK
1001,200201001,2002,Flensburg,520.3000000000001,515.2,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,428.1,422.1,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,291.1,224.8,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,545.4,394.5,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,496.90000000000003,509.0,Schleswig-Holstein,SH
1002,200201002,2002,Kiel,772.7,756.1,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,635.4000000000001,569.1,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,533.5,433.70000000000005,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,653.4000000000001,456.40000000000003,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,488.8,373.70000000000005,Schleswig-Holstein,SH
1003,200201003,2002,Lübeck,300.40000000000003,276.6,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,288.5,274.6,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,148.6,272.40000000000003,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,412.70000000000005,313.70000000000005,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,206.5,138.4,Schleswig-Holstein,SH
1004,200201004,2002,Neumünster,123.9,-41.7,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,14.8,-52.400000000000006,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,156.5,1.9000000000000001,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,,52.2,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,-223.3,16.400000000000002,Schleswig-Holstein,SH
1051,200201051,2002,Kreis Dithmarschen,-198.0,-179.4,Schleswig-Holstein,SH
1051,200501051,2005,Kreis Dithmarschen,-227.8,-161.10000000000002,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,-275.6,-168.70000000000002,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,-166.0,-178.3,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,-113.10000000000001,-190.4,Schleswig-Holstein,SH
1053,200201053,2002,Kreis Herzogtum Lauenburg,12.5,185.70000000000002,Schleswig-Holstein,SH
1053,200501053,2005,Kreis Herzogtum Lauenburg,-120.30000000000001,-25.200000000000003,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,-136.9,-90.10000000000001,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,-12.5,-49.2,Schleswig-Holstein,SH
1053,201701053,2017,Kreis Herzogtum Lauenburg,-108.0,-137.20000000000002,Schleswig-Holstein,SH
1054,200201054,2002,Kreis Nordfriesland,-136.3,5.0,Schleswig-Holstein,SH
1054,200501054,2005,Kreis Nordfriesland,-72.5,-50.6,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,-153.1,-110.80000000000001,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,-149.1,-89.0,Schleswig-Holstein,SH
1054,201701054,2017,Kreis Nordfriesland,-160.70000000000002,-73.7,Schleswig-Holstein,SH
