,YearSchluessel,Year,Stadt-/Landkreis,Gewerbeanmeldungen je 10.000 Einwohner,LAND_NAME,LAND_ABK
1001,200901001,2009,Flensburg,104.60000000000001,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,83.60000000000001,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,82.5,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,103.60000000000001,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,92.9,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,75.8,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,94.10000000000001,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,83.9,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,69.0,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,108.7,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,109.9,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,93.30000000000001,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,108.60000000000001,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,77.80000000000001,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,71.60000000000001,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,94.4,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,95.0,Schleswig-Holstein,SH
1053,201701053,2017,Kreis Herzogtum Lauenburg,75.5,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,129.5,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,84.60000000000001,Schleswig-Holstein,SH
1054,201701054,2017,Kreis Nordfriesland,93.9,Schleswig-Holstein,SH
1055,200901055,2009,Kreis Ostholstein,101.30000000000001,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,80.30000000000001,Schleswig-Holstein,SH
1055,201701055,2017,Kreis Ostholstein,82.10000000000001,Schleswig-Holstein,SH
1056,200901056,2009,Kreis Pinneberg,105.60000000000001,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,117.0,Schleswig-Holstein,SH
1056,201701056,2017,Kreis Pinneberg,94.7,Schleswig-Holstein,SH
1057,200901057,2009,Kreis Plön,86.80000000000001,Schleswig-Holstein,SH
1057,201301057,2013,Kreis Plön,70.3,Schleswig-Holstein,SH
1057,201701057,2017,Kreis Plön,64.2,Schleswig-Holstein,SH
1058,200901058,2009,Kreis Rendsburg-Eckernförde,95.60000000000001,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,76.2,Schleswig-Holstein,SH
1058,201701058,2017,Kreis Rendsburg-Eckernförde,72.8,Schleswig-Holstein,SH
1059,200901059,2009,Kreis Schleswig,111.10000000000001,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,84.10000000000001,Schleswig-Holstein,SH
1059,201701059,2017,Kreis Schleswig,80.0,Schleswig-Holstein,SH
1060,200901060,2009,Kreis Segeberg,115.7,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,102.80000000000001,Schleswig-Holstein,SH
1060,201701060,2017,Kreis Segeberg,90.9,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,103.30000000000001,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,85.30000000000001,Schleswig-Holstein,SH
1061,201701061,2017,Kreis Steinburg,73.5,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,112.80000000000001,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,108.30000000000001,Schleswig-Holstein,SH
1062,201701062,2017,Kreis Stormarn,96.0,Schleswig-Holstein,SH
2000,200902,2009,Hamburg,115.4,Hamburg,HH
2000,201302,2013,Hamburg,121.10000000000001,Hamburg,HH
2000,201702,2017,Hamburg,103.5,Hamburg,HH
3101,200903101,2009,Braunschweig,79.9,Niedersachsen,NI
3101,201303101,2013,Braunschweig,69.4,Niedersachsen,NI
3101,201703101,2017,Braunschweig,61.5,Niedersachsen,NI
3102,200903102,2009,Salzgitter,58.7,Niedersachsen,NI
3102,201303102,2013,Salzgitter,64.9,Niedersachsen,NI
3102,201703102,2017,Salzgitter,65.3,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,64.60000000000001,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,47.2,Niedersachsen,NI
3103,201703103,2017,Wolfsburg,46.6,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,63.0,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,54.400000000000006,Niedersachsen,NI
3151,201703151,2017,Landkreis Gifhorn,56.6,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,82.0,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,71.0,Niedersachsen,NI
3153,201703153,2017,Landkreis Goslar,56.400000000000006,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,69.4,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,61.300000000000004,Niedersachsen,NI
3154,201703154,2017,Landkreis Helmstedt,57.6,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,76.10000000000001,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,53.7,Niedersachsen,NI
3155,201703155,2017,Landkreis Northeim,48.900000000000006,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,68.2,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,57.6,Niedersachsen,NI
3156,201703156,2017,Landkreis Osterode am Harz,,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,83.60000000000001,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,72.9,Niedersachsen,NI
3157,201703157,2017,Landkreis Peine,60.7,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,81.9,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,62.7,Niedersachsen,NI
3158,201703158,2017,Landkreis Wolfenbüttel,56.6,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,,Niedersachsen,NI
3159,201703159,2017,Landkreis Göttingen,49.0,Niedersachsen,NI
3241,200903241,2009,Hannover,84.80000000000001,Niedersachsen,NI
3241,201303241,2013,Hannover,81.4,Niedersachsen,NI
3241,201703241,2017,Hannover,73.2,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,109.2,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,84.9,Niedersachsen,NI
3251,201703251,2017,Landkreis Diepholz,81.2,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,83.4,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,75.9,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,62.7,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,86.30000000000001,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,65.9,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,62.1,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,64.2,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,58.800000000000004,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,55.800000000000004,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),72.2,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),60.900000000000006,Niedersachsen,NI
3256,201703256,2017,Landkreis Nienburg (Weser),57.0,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,89.9,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,71.5,Niedersachsen,NI
3257,201703257,2017,Landkreis Schaumburg,64.60000000000001,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,83.4,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,72.4,Niedersachsen,NI
3351,201703351,2017,Landkreis Celle,64.4,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,77.5,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,66.60000000000001,Niedersachsen,NI
3352,201703352,2017,Landkreis Cuxhaven,61.2,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,110.80000000000001,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,115.4,Niedersachsen,NI
3353,201703353,2017,Landkreis Harburg,97.30000000000001,Niedersachsen,NI
