,YearSchluessel,Year,Stadt-/Landkreis,Unternehmensinsolvenzen je 10.000 st.-pfl. Untern.,LAND_NAME,LAND_ABK
1001,200901001,2009,Flensburg,203.60000000000002,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,139.9,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,77.0,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,150.20000000000002,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,80.4,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,89.9,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,116.2,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,74.9,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,82.10000000000001,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,131.5,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,136.1,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,58.0,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,86.7,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,79.30000000000001,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,77.5,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,70.3,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,97.2,Schleswig-Holstein,SH
1053,201701053,2017,Kreis Herzogtum Lauenburg,66.10000000000001,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,76.7,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,62.2,Schleswig-Holstein,SH
1054,201701054,2017,Kreis Nordfriesland,66.4,Schleswig-Holstein,SH
1055,200901055,2009,Kreis Ostholstein,140.5,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,81.5,Schleswig-Holstein,SH
1055,201701055,2017,Kreis Ostholstein,63.2,Schleswig-Holstein,SH
1056,200901056,2009,Kreis Pinneberg,104.80000000000001,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,98.30000000000001,Schleswig-Holstein,SH
1056,201701056,2017,Kreis Pinneberg,79.60000000000001,Schleswig-Holstein,SH
1057,200901057,2009,Kreis Plön,50.0,Schleswig-Holstein,SH
1057,201301057,2013,Kreis Plön,52.1,Schleswig-Holstein,SH
1057,201701057,2017,Kreis Plön,76.7,Schleswig-Holstein,SH
1058,200901058,2009,Kreis Rendsburg-Eckernförde,144.6,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,97.30000000000001,Schleswig-Holstein,SH
1058,201701058,2017,Kreis Rendsburg-Eckernförde,71.10000000000001,Schleswig-Holstein,SH
1059,200901059,2009,Kreis Schleswig,171.20000000000002,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,102.80000000000001,Schleswig-Holstein,SH
1059,201701059,2017,Kreis Schleswig,65.10000000000001,Schleswig-Holstein,SH
1060,200901060,2009,Kreis Segeberg,82.30000000000001,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,87.60000000000001,Schleswig-Holstein,SH
1060,201701060,2017,Kreis Segeberg,89.60000000000001,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,136.4,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,112.10000000000001,Schleswig-Holstein,SH
1061,201701061,2017,Kreis Steinburg,56.6,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,73.2,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,91.5,Schleswig-Holstein,SH
1062,201701062,2017,Kreis Stormarn,71.0,Schleswig-Holstein,SH
2000,200902,2009,Hamburg,96.5,Hamburg,HH
2000,201302,2013,Hamburg,110.60000000000001,Hamburg,HH
2000,201702,2017,Hamburg,79.9,Hamburg,HH
3101,200903101,2009,Braunschweig,117.80000000000001,Niedersachsen,NI
3101,201303101,2013,Braunschweig,74.5,Niedersachsen,NI
3101,201703101,2017,Braunschweig,62.900000000000006,Niedersachsen,NI
3102,200903102,2009,Salzgitter,111.4,Niedersachsen,NI
