,YearSchluessel,Year,Stadt-/Landkreis,Arbeitslosenquote in %,Anteil Arbeitslose 15-24 Jahre an Arbeitsl. insg. In %,Anteil Arbeitslose 55-64 Jahre an Arbeitsl. insg. In %,Anteil Langzeitarbeitslose an Arbeitslosen insg. In %,Anteil arbeitslose Ausländer an Arbeitslosen insg. In %,LAND_NAME,LAND_ABK
1001,200101001,2001,Flensburg,12.100000000000001,14.8,11.9,24.5,11.200000000000001,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,18.3,15.9,9.700000000000001,33.2,11.100000000000001,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,13.0,12.8,10.700000000000001,25.700000000000003,10.5,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,11.100000000000001,12.3,14.3,33.800000000000004,9.5,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,8.9,12.5,14.5,31.8,21.8,Schleswig-Holstein,SH
1002,200101002,2001,Kiel,11.100000000000001,11.3,15.3,31.3,14.8,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,16.900000000000002,12.8,10.4,40.0,15.4,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,10.9,9.200000000000001,9.3,37.0,17.2,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,10.200000000000001,9.600000000000001,14.0,34.0,16.1,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,9.1,8.9,14.9,37.800000000000004,25.1,Schleswig-Holstein,SH
1003,200101003,2001,Lübeck,12.3,10.8,16.3,34.7,14.9,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,18.3,13.200000000000001,10.3,35.7,15.700000000000001,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,12.3,11.4,11.9,42.6,14.600000000000001,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,10.4,10.9,14.200000000000001,34.9,15.200000000000001,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,8.6,8.6,17.2,36.300000000000004,21.200000000000003,Schleswig-Holstein,SH
1004,200101004,2001,Neumünster,11.8,14.8,15.100000000000001,31.400000000000002,13.700000000000001,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,15.700000000000001,12.600000000000001,8.8,38.5,12.5,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,11.3,13.5,12.0,29.1,13.3,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,11.100000000000001,12.5,15.100000000000001,36.9,14.100000000000001,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,9.200000000000001,11.5,17.900000000000002,38.300000000000004,18.900000000000002,Schleswig-Holstein,SH
1051,200101051,2001,Kreis Dithmarschen,9.200000000000001,14.200000000000001,14.8,24.1,4.7,Schleswig-Holstein,SH
1051,200501051,2005,Kreis Dithmarschen,13.700000000000001,14.5,9.9,31.5,5.300000000000001,Schleswig-Holstein,SH
