,YearSchluessel,Year,Stadt-/Landkreis,Beschäftigtenquote in %,LAND_NAME,LAND_ABK
1001,201701001,2017,Flensburg,52.400000000000006,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,48.300000000000004,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,41.300000000000004,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,51.5,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,47.800000000000004,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,44.5,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,55.900000000000006,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,51.0,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,46.6,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,55.6,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,52.0,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,48.800000000000004,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,55.6,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,51.0,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,46.7,Schleswig-Holstein,SH
1053,201701053,2017,Kreis Herzogtum Lauenburg,58.300000000000004,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,55.900000000000006,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,52.5,Schleswig-Holstein,SH
1054,201701054,2017,Kreis Nordfriesland,57.900000000000006,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,53.5,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,48.7,Schleswig-Holstein,SH
1055,201701055,2017,Kreis Ostholstein,57.800000000000004,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,54.2,Schleswig-Holstein,SH
1055,200901055,2009,Kreis Ostholstein,48.0,Schleswig-Holstein,SH
1056,201701056,2017,Kreis Pinneberg,62.1,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,59.300000000000004,Schleswig-Holstein,SH
