,YearSchluessel,Year,Stadt-/Landkreis,Arbeitsplatzdichte,"Anteil Erwerbst. Land- u. Forstwirtsch., Fischerei in %",Anteil Erwerbstätige Produzierendes Gewerbe in %,Anteil Erwerbstätige Verarbeitendes Gewerbe in %,Anteil Erwerbstätige Baugewerbe in %,Anteil Erwerbstätige Dienstleistungsbereiche in %,"Ant ET Handel, Verkehr, Gastgew., Inform., Kommun. In %","Ant ET Finanz-, Vers., Unt-dl., Grundst-, Wohngsw. In %","Ant ET Öffentl. u. sonst. DL, Erzieh., Gesundh. In %",LAND_NAME,LAND_ABK
1001,201601001,2016,Flensburg,1020.5,0.2,13.4,9.5,2.5,86.5,30.700000000000003,16.0,39.7,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,1018.5,,13.4,9.600000000000001,2.6,86.4,31.5,16.400000000000002,38.5,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,947.0,0.2,13.9,10.4,2.5,86.10000000000001,31.200000000000003,15.8,39.1,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,938.5,0.2,17.6,13.9,2.6,82.2,29.700000000000003,13.4,39.2,Schleswig-Holstein,SH
1001,200201001,2002,Flensburg,967.1,0.2,19.3,15.0,3.1,80.30000000000001,28.6,12.3,39.400000000000006,Schleswig-Holstein,SH
1002,201601002,2016,Kiel,993.3000000000001,0.1,12.0,8.0,2.9000000000000004,87.9,23.8,19.8,44.2,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,962.4000000000001,0.1,12.200000000000001,8.200000000000001,2.8000000000000003,87.7,25.0,19.0,43.7,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,959.4000000000001,0.1,12.200000000000001,8.4,2.7,87.80000000000001,24.400000000000002,19.200000000000003,44.1,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,926.5,0.1,13.200000000000001,8.8,3.1,86.7,25.8,17.6,43.2,Schleswig-Holstein,SH
1002,200201002,2002,Kiel,932.8000000000001,0.1,14.9,9.9,3.6,85.10000000000001,26.1,17.1,41.900000000000006,Schleswig-Holstein,SH
1003,201601003,2016,Lübeck,905.1,0.2,18.1,12.700000000000001,4.3,81.60000000000001,26.200000000000003,19.200000000000003,36.2,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,897.8000000000001,0.2,17.7,12.200000000000001,4.4,82.10000000000001,26.3,19.8,36.0,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,900.7,0.2,17.8,12.4,4.3,81.80000000000001,27.0,19.200000000000003,35.7,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,824.2,0.30000000000000004,18.3,12.5,4.4,81.4,28.400000000000002,17.7,35.2,Schleswig-Holstein,SH
1003,200201003,2002,Lübeck,831.1,0.30000000000000004,19.6,13.600000000000001,4.7,80.10000000000001,28.200000000000003,16.5,35.4,Schleswig-Holstein,SH
1004,201601004,2016,Neumünster,991.0,1.2000000000000002,17.900000000000002,10.4,5.9,80.9,33.1,17.3,30.5,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,972.0,1.0,18.7,11.600000000000001,5.6000000000000005,80.5,31.700000000000003,18.0,30.700000000000003,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,961.7,0.8,19.3,12.5,5.300000000000001,79.80000000000001,32.1,17.8,29.900000000000002,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,873.3000000000001,0.5,21.900000000000002,14.600000000000001,5.7,77.9,31.0,16.400000000000002,30.5,Schleswig-Holstein,SH
1004,200201004,2002,Neumünster,884.3000000000001,0.4,24.0,16.3,6.1000000000000005,75.60000000000001,30.900000000000002,13.9,30.700000000000003,Schleswig-Holstein,SH
1051,201601051,2016,Kreis Dithmarschen,712.6,5.7,21.6,12.5,7.7,72.7,28.3,10.9,33.6,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,688.6,6.2,22.5,13.100000000000001,8.0,71.3,27.3,10.700000000000001,33.2,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,665.8000000000001,5.9,21.900000000000002,13.200000000000001,7.5,72.2,28.3,10.3,33.5,Schleswig-Holstein,SH
1051,200501051,2005,Kreis Dithmarschen,644.6,5.6000000000000005,20.700000000000003,12.3,6.800000000000001,73.7,27.400000000000002,11.4,35.0,Schleswig-Holstein,SH
1051,200201051,2002,Kreis Dithmarschen,663.8000000000001,5.5,23.200000000000003,13.700000000000001,7.9,71.5,29.0,9.8,32.800000000000004,Schleswig-Holstein,SH
1053,201601053,2016,Kreis Herzogtum Lauenburg,556.9,3.3000000000000003,21.6,13.100000000000001,6.9,75.2,26.700000000000003,13.600000000000001,34.9,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,563.1,3.4000000000000004,22.6,14.4,6.800000000000001,74.0,26.5,13.4,34.1,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,552.2,3.4000000000000004,22.5,15.0,6.1000000000000005,74.3,26.8,13.0,34.6,Schleswig-Holstein,SH
1053,200501053,2005,Kreis Herzogtum Lauenburg,536.0,3.4000000000000004,22.1,14.5,5.9,74.10000000000001,26.5,12.9,34.7,Schleswig-Holstein,SH
1053,200201053,2002,Kreis Herzogtum Lauenburg,536.2,3.7,24.8,16.6,6.5,71.60000000000001,26.200000000000003,12.4,33.0,Schleswig-Holstein,SH
1054,201601054,2016,Kreis Nordfriesland,868.3000000000001,4.3,17.6,8.200000000000001,7.7,78.0,32.9,12.0,33.2,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,851.3000000000001,4.800000000000001,18.5,8.200000000000001,7.9,76.80000000000001,31.700000000000003,11.200000000000001,33.9,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,808.5,4.6000000000000005,17.8,8.5,7.1000000000000005,77.7,31.3,10.600000000000001,35.800000000000004,Schleswig-Holstein,SH
1054,200501054,2005,Kreis Nordfriesland,752.3000000000001,4.800000000000001,17.6,9.1,6.9,77.80000000000001,31.3,10.0,36.5,Schleswig-Holstein,SH
1054,200201054,2002,Kreis Nordfriesland,753.6,4.7,18.3,9.5,7.800000000000001,77.0,31.400000000000002,10.5,35.0,Schleswig-Holstein,SH
1055,201601055,2016,Kreis Ostholstein,735.6,2.9000000000000004,16.0,8.700000000000001,5.7,81.10000000000001,31.8,11.600000000000001,37.7,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,708.7,3.2,16.400000000000002,9.1,6.0,80.4,31.0,12.100000000000001,37.300000000000004,Schleswig-Holstein,SH
1055,200901055,2009,Kreis Ostholstein,657.8000000000001,3.2,16.0,9.0,5.6000000000000005,80.7,31.0,11.8,37.9,Schleswig-Holstein,SH
1055,200501055,2005,Kreis Ostholstein,628.7,3.0,16.1,8.8,6.0,80.9,30.900000000000002,11.8,38.2,Schleswig-Holstein,SH
1055,200201055,2002,Kreis Ostholstein,628.0,3.0,17.2,9.0,6.800000000000001,79.80000000000001,30.5,11.5,37.7,Schleswig-Holstein,SH
1056,201601056,2016,Kreis Pinneberg,645.2,2.5,24.700000000000003,16.400000000000002,6.5,72.9,30.8,15.5,26.6,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,639.5,2.8000000000000003,25.8,17.3,6.6000000000000005,71.4,30.900000000000002,14.100000000000001,26.400000000000002,Schleswig-Holstein,SH
1056,200901056,2009,Kreis Pinneberg,621.6,2.9000000000000004,25.700000000000003,17.400000000000002,6.300000000000001,71.4,31.400000000000002,14.3,25.700000000000003,Schleswig-Holstein,SH
1056,200501056,2005,Kreis Pinneberg,599.3000000000001,2.8000000000000003,25.400000000000002,17.2,6.300000000000001,71.7,32.300000000000004,13.100000000000001,26.3,Schleswig-Holstein,SH
1056,200201056,2002,Kreis Pinneberg,600.8000000000001,2.9000000000000004,25.6,17.3,6.7,71.60000000000001,32.4,12.700000000000001,26.400000000000002,Schleswig-Holstein,SH
1057,201601057,2016,Kreis Plön,550.2,4.4,18.1,9.200000000000001,8.5,77.30000000000001,26.6,13.100000000000001,37.6,Schleswig-Holstein,SH
1057,201301057,2013,Kreis Plön,539.4,4.5,19.1,9.4,9.0,76.4,26.700000000000003,12.3,37.5,Schleswig-Holstein,SH
1057,200901057,2009,Kreis Plön,506.40000000000003,4.1000000000000005,17.7,9.200000000000001,8.1,78.30000000000001,25.3,12.9,40.1,Schleswig-Holstein,SH
1057,200501057,2005,Kreis Plön,473.8,4.3,17.5,8.6,8.1,78.2,25.400000000000002,13.600000000000001,39.2,Schleswig-Holstein,SH
1057,200201057,2002,Kreis Plön,475.40000000000003,4.2,18.8,9.200000000000001,8.9,76.7,26.1,13.9,36.7,Schleswig-Holstein,SH
1058,201601058,2016,Kreis Rendsburg-Eckernförde,663.3000000000001,3.8000000000000003,18.900000000000002,9.4,8.0,77.30000000000001,26.3,12.3,38.7,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,657.7,4.1000000000000005,19.1,10.0,7.800000000000001,76.80000000000001,25.900000000000002,13.3,37.6,Schleswig-Holstein,SH
1058,200901058,2009,Kreis Rendsburg-Eckernförde,648.5,3.8000000000000003,18.2,9.9,7.1000000000000005,78.0,25.8,13.5,38.7,Schleswig-Holstein,SH
1058,200501058,2005,Kreis Rendsburg-Eckernförde,614.7,4.0,17.8,9.600000000000001,7.0,78.2,26.400000000000002,12.200000000000001,39.7,Schleswig-Holstein,SH
1058,200201058,2002,Kreis Rendsburg-Eckernförde,619.4000000000001,3.8000000000000003,19.400000000000002,9.8,8.3,76.80000000000001,27.0,12.100000000000001,37.7,Schleswig-Holstein,SH
1059,201601059,2016,Kreis Schleswig,668.3000000000001,5.1000000000000005,18.3,9.3,7.800000000000001,76.5,28.6,12.200000000000001,35.7,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,650.6,5.800000000000001,18.8,9.4,8.1,75.4,28.0,11.8,35.7,Schleswig-Holstein,SH
1059,200901059,2009,Kreis Schleswig,624.3000000000001,5.6000000000000005,17.8,9.3,7.5,76.4,28.0,11.200000000000001,37.2,Schleswig-Holstein,SH
1059,200501059,2005,Kreis Schleswig,581.2,5.9,17.5,8.9,7.5,76.7,27.900000000000002,10.0,38.800000000000004,Schleswig-Holstein,SH
1059,200201059,2002,Kreis Schleswig,582.9,6.0,18.5,8.9,8.5,75.7,26.6,8.9,40.2,Schleswig-Holstein,SH
1060,201601060,2016,Kreis Segeberg,702.6,2.2,23.5,15.9,6.6000000000000005,74.3,30.6,16.1,27.6,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,692.6,2.4000000000000004,23.5,15.9,6.6000000000000005,74.10000000000001,29.6,15.700000000000001,28.8,Schleswig-Holstein,SH
1060,200901060,2009,Kreis Segeberg,683.2,2.4000000000000004,24.3,17.2,6.2,73.3,30.200000000000003,14.3,28.900000000000002,Schleswig-Holstein,SH
1060,200501060,2005,Kreis Segeberg,655.0,2.4000000000000004,24.6,17.1,6.6000000000000005,72.8,30.5,14.9,27.400000000000002,Schleswig-Holstein,SH
1060,200201060,2002,Kreis Segeberg,652.6,2.4000000000000004,25.5,17.5,7.0,72.10000000000001,32.6,13.600000000000001,26.0,Schleswig-Holstein,SH
1061,201601061,2016,Kreis Steinburg,652.2,4.7,23.3,13.700000000000001,7.2,72.0,21.8,15.9,34.300000000000004,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,655.0,5.1000000000000005,25.0,14.5,7.6000000000000005,70.10000000000001,21.6,15.100000000000001,33.4,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,630.1,5.0,23.5,14.8,6.9,71.7,22.400000000000002,15.200000000000001,34.1,Schleswig-Holstein,SH
1061,200501061,2005,Kreis Steinburg,618.6,4.800000000000001,23.3,14.9,6.6000000000000005,71.9,21.8,13.600000000000001,36.5,Schleswig-Holstein,SH
1061,200201061,2002,Kreis Steinburg,636.3000000000001,4.6000000000000005,25.6,15.8,7.2,69.60000000000001,21.8,12.8,35.1,Schleswig-Holstein,SH
1062,201601062,2016,Kreis Stormarn,740.2,1.5,24.3,17.3,6.4,74.10000000000001,32.4,16.0,25.700000000000003,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,721.4000000000001,1.7000000000000002,25.1,18.3,6.300000000000001,73.2,32.7,15.4,25.1,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,737.0,1.5,26.400000000000002,19.700000000000003,6.1000000000000005,72.10000000000001,30.5,17.400000000000002,24.200000000000003,Schleswig-Holstein,SH
1062,200501062,2005,Kreis Stormarn,679.2,1.7000000000000002,28.700000000000003,21.6,6.5,69.60000000000001,31.200000000000003,13.4,25.0,Schleswig-Holstein,SH
1062,200201062,2002,Kreis Stormarn,654.2,1.8,31.200000000000003,22.900000000000002,7.6000000000000005,67.10000000000001,30.6,12.100000000000001,24.400000000000002,Schleswig-Holstein,SH
2000,201602,2016,Hamburg,1000.4000000000001,0.1,12.700000000000001,8.4,3.2,87.10000000000001,32.5,25.6,29.0,Hamburg,HH
2000,201302,2013,Hamburg,997.2,0.2,12.9,8.6,3.2,86.9,33.0,25.400000000000002,28.5,Hamburg,HH
2000,200902,2009,Hamburg,927.4000000000001,0.30000000000000004,13.5,9.1,3.3000000000000003,86.2,32.9,25.1,28.200000000000003,Hamburg,HH
2000,200502,2005,Hamburg,873.9000000000001,0.30000000000000004,14.700000000000001,9.700000000000001,3.8000000000000003,85.0,33.0,24.0,28.0,Hamburg,HH
2000,200202,2002,Hamburg,874.3000000000001,0.30000000000000004,16.2,10.600000000000001,4.4,83.5,33.5,22.700000000000003,27.3,Hamburg,HH
3101,201603101,2016,Braunschweig,984.5,0.1,18.1,13.4,3.3000000000000003,81.80000000000001,24.3,23.700000000000003,33.800000000000004,Niedersachsen,NI
3101,201303101,2013,Braunschweig,958.6,0.1,18.2,13.5,3.4000000000000004,81.60000000000001,24.200000000000003,24.0,33.4,Niedersachsen,NI
3101,200903101,2009,Braunschweig,922.4000000000001,0.1,18.400000000000002,13.8,3.3000000000000003,81.4,25.1,22.8,33.5,Niedersachsen,NI
3101,200503101,2005,Braunschweig,898.2,0.1,19.5,15.0,3.4000000000000004,80.30000000000001,26.3,21.3,32.7,Niedersachsen,NI
3101,200203101,2002,Braunschweig,888.7,0.1,20.200000000000003,15.200000000000001,3.9000000000000004,79.60000000000001,26.1,20.700000000000003,32.7,Niedersachsen,NI
3102,201603102,2016,Salzgitter,875.1,0.4,48.5,42.900000000000006,3.2,51.1,18.0,9.5,23.6,Niedersachsen,NI
3102,201303102,2013,Salzgitter,905.5,0.4,49.300000000000004,43.6,3.2,50.400000000000006,18.8,8.4,23.200000000000003,Niedersachsen,NI
3102,200903102,2009,Salzgitter,864.1,0.5,45.0,40.2,3.2,54.800000000000004,19.5,11.5,23.8,Niedersachsen,NI
3102,200503102,2005,Salzgitter,822.4000000000001,0.5,46.400000000000006,41.900000000000006,3.0,53.1,18.8,11.4,22.900000000000002,Niedersachsen,NI
3102,200203102,2002,Salzgitter,813.8000000000001,0.5,47.5,42.5,3.6,52.0,19.0,10.100000000000001,22.8,Niedersachsen,NI
3103,201603103,2016,Wolfsburg,1634.3000000000002,0.2,53.5,50.900000000000006,1.8,46.300000000000004,15.600000000000001,14.5,16.2,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,1605.0,0.2,50.0,47.300000000000004,2.0,49.800000000000004,14.5,19.900000000000002,15.4,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,1449.0,0.2,52.5,49.6,2.0,47.2,15.3,15.8,16.1,Niedersachsen,NI
3103,200503103,2005,Wolfsburg,1316.3000000000002,0.2,58.6,55.400000000000006,2.3000000000000003,41.2,14.100000000000001,10.600000000000001,16.5,Niedersachsen,NI
3103,200203103,2002,Wolfsburg,1226.3,0.2,58.6,55.400000000000006,2.5,41.1,15.100000000000001,9.3,16.7,Niedersachsen,NI
3151,201603151,2016,Landkreis Gifhorn,500.3,2.9000000000000004,21.5,12.5,8.0,75.60000000000001,22.5,18.7,34.300000000000004,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,487.90000000000003,3.4000000000000004,21.5,12.700000000000001,8.1,75.10000000000001,24.200000000000003,18.1,32.800000000000004,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,470.20000000000005,3.2,21.400000000000002,13.0,7.4,75.60000000000001,25.0,16.6,34.1,Niedersachsen,NI
3151,200503151,2005,Landkreis Gifhorn,453.1,3.0,23.0,14.100000000000001,8.0,73.9,25.0,14.3,34.7,Niedersachsen,NI
3151,200203151,2002,Landkreis Gifhorn,441.1,3.1,25.3,15.9,8.4,71.5,25.1,12.600000000000001,33.800000000000004,Niedersachsen,NI
3153,201603153,2016,Landkreis Goslar,720.6,1.1,21.400000000000002,14.4,5.0,77.30000000000001,27.200000000000003,13.0,37.1,Niedersachsen,NI
