,YearSchluessel,Year,Stadt-/Landkreis,Anteil neue Wohngebäude mit 1 oder 2 Wohnungen in Prozent,LAND_NAME,LAND_ABK
1001,199501001,1995,Flensburg,79.80000000000001,Schleswig-Holstein,SH
1001,200001001,2000,Flensburg,90.4,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,96.10000000000001,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,99.0,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,84.5,Schleswig-Holstein,SH
1001,201701001,2017,Flensburg,73.8,Schleswig-Holstein,SH
1002,199501002,1995,Kiel,69.3,Schleswig-Holstein,SH
1002,200001002,2000,Kiel,94.10000000000001,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,94.2,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,91.80000000000001,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,91.30000000000001,Schleswig-Holstein,SH
1002,201701002,2017,Kiel,77.80000000000001,Schleswig-Holstein,SH
1003,199501003,1995,Lübeck,72.7,Schleswig-Holstein,SH
1003,200001003,2000,Lübeck,91.2,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,94.60000000000001,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,83.2,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,77.10000000000001,Schleswig-Holstein,SH
1003,201701003,2017,Lübeck,84.60000000000001,Schleswig-Holstein,SH
1004,199501004,1995,Neumünster,81.4,Schleswig-Holstein,SH
1004,200001004,2000,Neumünster,95.7,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,96.80000000000001,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,83.30000000000001,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,94.2,Schleswig-Holstein,SH
1004,201701004,2017,Neumünster,83.80000000000001,Schleswig-Holstein,SH
1051,199501051,1995,Kreis Dithmarschen,86.80000000000001,Schleswig-Holstein,SH
1051,200001051,2000,Kreis Dithmarschen,96.60000000000001,Schleswig-Holstein,SH
1051,200501051,2005,Kreis Dithmarschen,97.7,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,93.7,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,95.60000000000001,Schleswig-Holstein,SH
1051,201701051,2017,Kreis Dithmarschen,93.80000000000001,Schleswig-Holstein,SH
1053,199501053,1995,Kreis Herzogtum Lauenburg,88.80000000000001,Schleswig-Holstein,SH
1053,200001053,2000,Kreis Herzogtum Lauenburg,93.7,Schleswig-Holstein,SH
1053,200501053,2005,Kreis Herzogtum Lauenburg,96.30000000000001,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,93.80000000000001,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,94.7,Schleswig-Holstein,SH
1053,201701053,2017,Kreis Herzogtum Lauenburg,93.10000000000001,Schleswig-Holstein,SH
1054,199501054,1995,Kreis Nordfriesland,84.0,Schleswig-Holstein,SH
1054,200001054,2000,Kreis Nordfriesland,93.0,Schleswig-Holstein,SH
1054,200501054,2005,Kreis Nordfriesland,91.2,Schleswig-Holstein,SH
