,YearSchluessel,Year,Stadt-/Landkreis,Gesamtbetrag der Einkünfte je Steuerpflichtigen in Tsd. EUR,LAND_NAME,LAND_ABK
1001,199501001,1995,Flensburg,27.700000000000003,Schleswig-Holstein,SH
1001,199801001,1998,Flensburg,29.5,Schleswig-Holstein,SH
1001,200101001,2001,Flensburg,30.0,Schleswig-Holstein,SH
1001,200401001,2004,Flensburg,26.200000000000003,Schleswig-Holstein,SH
1001,200701001,2007,Flensburg,27.400000000000002,Schleswig-Holstein,SH
1001,201001001,2010,Flensburg,27.0,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,28.900000000000002,Schleswig-Holstein,SH
1001,201401001,2014,Flensburg,29.5,Schleswig-Holstein,SH
1002,199501002,1995,Kiel,27.700000000000003,Schleswig-Holstein,SH
1002,199801002,1998,Kiel,28.200000000000003,Schleswig-Holstein,SH
1002,200101002,2001,Kiel,30.5,Schleswig-Holstein,SH
1002,200401002,2004,Kiel,26.900000000000002,Schleswig-Holstein,SH
1002,200701002,2007,Kiel,26.8,Schleswig-Holstein,SH
1002,201001002,2010,Kiel,27.5,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,30.3,Schleswig-Holstein,SH
1002,201401002,2014,Kiel,30.900000000000002,Schleswig-Holstein,SH
1003,199501003,1995,Lübeck,28.700000000000003,Schleswig-Holstein,SH
1003,199801003,1998,Lübeck,28.3,Schleswig-Holstein,SH
1003,200101003,2001,Lübeck,32.300000000000004,Schleswig-Holstein,SH
1003,200401003,2004,Lübeck,27.200000000000003,Schleswig-Holstein,SH
1003,200701003,2007,Lübeck,27.8,Schleswig-Holstein,SH
1003,201001003,2010,Lübeck,27.6,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,30.6,Schleswig-Holstein,SH
1003,201401003,2014,Lübeck,31.5,Schleswig-Holstein,SH
1004,199501004,1995,Neumünster,28.5,Schleswig-Holstein,SH
1004,199801004,1998,Neumünster,29.400000000000002,Schleswig-Holstein,SH
1004,200101004,2001,Neumünster,30.900000000000002,Schleswig-Holstein,SH
1004,200401004,2004,Neumünster,26.1,Schleswig-Holstein,SH
1004,200701004,2007,Neumünster,26.3,Schleswig-Holstein,SH
1004,201001004,2010,Neumünster,26.200000000000003,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,28.900000000000002,Schleswig-Holstein,SH
1004,201401004,2014,Neumünster,30.1,Schleswig-Holstein,SH
1051,199501051,1995,Kreis Dithmarschen,28.1,Schleswig-Holstein,SH
1051,199801051,1998,Kreis Dithmarschen,28.8,Schleswig-Holstein,SH
1051,200101051,2001,Kreis Dithmarschen,30.1,Schleswig-Holstein,SH
1051,200401051,2004,Kreis Dithmarschen,27.400000000000002,Schleswig-Holstein,SH
1051,200701051,2007,Kreis Dithmarschen,28.8,Schleswig-Holstein,SH
1051,201001051,2010,Kreis Dithmarschen,29.700000000000003,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,32.6,Schleswig-Holstein,SH
1051,201401051,2014,Kreis Dithmarschen,33.800000000000004,Schleswig-Holstein,SH
1053,199501053,1995,Kreis Herzogtum Lauenburg,33.7,Schleswig-Holstein,SH
1053,199801053,1998,Kreis Herzogtum Lauenburg,35.800000000000004,Schleswig-Holstein,SH
1053,200101053,2001,Kreis Herzogtum Lauenburg,37.2,Schleswig-Holstein,SH
1053,200401053,2004,Kreis Herzogtum Lauenburg,33.0,Schleswig-Holstein,SH
1053,200701053,2007,Kreis Herzogtum Lauenburg,34.5,Schleswig-Holstein,SH
1053,201001053,2010,Kreis Herzogtum Lauenburg,35.300000000000004,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,38.5,Schleswig-Holstein,SH
1053,201401053,2014,Kreis Herzogtum Lauenburg,39.300000000000004,Schleswig-Holstein,SH
1054,199501054,1995,Kreis Nordfriesland,28.0,Schleswig-Holstein,SH
1054,199801054,1998,Kreis Nordfriesland,30.1,Schleswig-Holstein,SH
1054,200101054,2001,Kreis Nordfriesland,30.3,Schleswig-Holstein,SH
1054,200401054,2004,Kreis Nordfriesland,28.0,Schleswig-Holstein,SH
1054,200701054,2007,Kreis Nordfriesland,29.5,Schleswig-Holstein,SH
1054,201001054,2010,Kreis Nordfriesland,30.900000000000002,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,34.5,Schleswig-Holstein,SH
1054,201401054,2014,Kreis Nordfriesland,36.1,Schleswig-Holstein,SH
1055,199501055,1995,Kreis Ostholstein,30.200000000000003,Schleswig-Holstein,SH
1055,199801055,1998,Kreis Ostholstein,31.6,Schleswig-Holstein,SH
1055,200101055,2001,Kreis Ostholstein,32.2,Schleswig-Holstein,SH
1055,200401055,2004,Kreis Ostholstein,29.1,Schleswig-Holstein,SH
1055,200701055,2007,Kreis Ostholstein,29.5,Schleswig-Holstein,SH
1055,201001055,2010,Kreis Ostholstein,30.3,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,33.5,Schleswig-Holstein,SH
1055,201401055,2014,Kreis Ostholstein,34.6,Schleswig-Holstein,SH
1056,199501056,1995,Kreis Pinneberg,35.7,Schleswig-Holstein,SH
1056,199801056,1998,Kreis Pinneberg,38.400000000000006,Schleswig-Holstein,SH
1056,200101056,2001,Kreis Pinneberg,39.800000000000004,Schleswig-Holstein,SH
1056,200401056,2004,Kreis Pinneberg,34.7,Schleswig-Holstein,SH
1056,200701056,2007,Kreis Pinneberg,35.800000000000004,Schleswig-Holstein,SH
1056,201001056,2010,Kreis Pinneberg,36.6,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,39.6,Schleswig-Holstein,SH
1056,201401056,2014,Kreis Pinneberg,40.5,Schleswig-Holstein,SH
1057,199501057,1995,Kreis Plön,31.3,Schleswig-Holstein,SH
1057,199801057,1998,Kreis Plön,32.4,Schleswig-Holstein,SH
1057,200101057,2001,Kreis Plön,33.5,Schleswig-Holstein,SH
1057,200401057,2004,Kreis Plön,30.700000000000003,Schleswig-Holstein,SH
1057,200701057,2007,Kreis Plön,31.200000000000003,Schleswig-Holstein,SH
1057,201001057,2010,Kreis Plön,32.0,Schleswig-Holstein,SH
1057,201301057,2013,Kreis Plön,35.6,Schleswig-Holstein,SH
1057,201401057,2014,Kreis Plön,36.6,Schleswig-Holstein,SH
1058,199501058,1995,Kreis Rendsburg-Eckernförde,32.5,Schleswig-Holstein,SH
1058,199801058,1998,Kreis Rendsburg-Eckernförde,33.5,Schleswig-Holstein,SH
1058,200101058,2001,Kreis Rendsburg-Eckernförde,35.2,Schleswig-Holstein,SH
1058,200401058,2004,Kreis Rendsburg-Eckernförde,31.900000000000002,Schleswig-Holstein,SH
1058,200701058,2007,Kreis Rendsburg-Eckernförde,32.7,Schleswig-Holstein,SH
1058,201001058,2010,Kreis Rendsburg-Eckernförde,33.7,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,37.5,Schleswig-Holstein,SH
1058,201401058,2014,Kreis Rendsburg-Eckernförde,38.900000000000006,Schleswig-Holstein,SH
1059,199501059,1995,Kreis Schleswig,29.3,Schleswig-Holstein,SH
1059,199801059,1998,Kreis Schleswig,31.6,Schleswig-Holstein,SH
1059,200101059,2001,Kreis Schleswig,32.1,Schleswig-Holstein,SH
1059,200401059,2004,Kreis Schleswig,29.8,Schleswig-Holstein,SH
1059,200701059,2007,Kreis Schleswig,30.700000000000003,Schleswig-Holstein,SH
1059,201001059,2010,Kreis Schleswig,31.1,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,34.2,Schleswig-Holstein,SH
1059,201401059,2014,Kreis Schleswig,35.1,Schleswig-Holstein,SH
1060,199501060,1995,Kreis Segeberg,35.0,Schleswig-Holstein,SH
1060,199801060,1998,Kreis Segeberg,37.2,Schleswig-Holstein,SH
1060,200101060,2001,Kreis Segeberg,37.7,Schleswig-Holstein,SH
1060,200401060,2004,Kreis Segeberg,32.300000000000004,Schleswig-Holstein,SH
1060,200701060,2007,Kreis Segeberg,33.4,Schleswig-Holstein,SH
1060,201001060,2010,Kreis Segeberg,33.6,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,37.1,Schleswig-Holstein,SH
1060,201401060,2014,Kreis Segeberg,38.1,Schleswig-Holstein,SH
1061,199501061,1995,Kreis Steinburg,30.0,Schleswig-Holstein,SH
1061,199801061,1998,Kreis Steinburg,31.3,Schleswig-Holstein,SH
1061,200101061,2001,Kreis Steinburg,32.2,Schleswig-Holstein,SH
1061,200401061,2004,Kreis Steinburg,28.900000000000002,Schleswig-Holstein,SH
1061,200701061,2007,Kreis Steinburg,29.6,Schleswig-Holstein,SH
1061,201001061,2010,Kreis Steinburg,30.6,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,33.9,Schleswig-Holstein,SH
1061,201401061,2014,Kreis Steinburg,34.800000000000004,Schleswig-Holstein,SH
1062,199501062,1995,Kreis Stormarn,38.2,Schleswig-Holstein,SH
1062,199801062,1998,Kreis Stormarn,41.1,Schleswig-Holstein,SH
1062,200101062,2001,Kreis Stormarn,42.800000000000004,Schleswig-Holstein,SH
1062,200401062,2004,Kreis Stormarn,37.1,Schleswig-Holstein,SH
1062,200701062,2007,Kreis Stormarn,39.300000000000004,Schleswig-Holstein,SH
1062,201001062,2010,Kreis Stormarn,39.300000000000004,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,42.7,Schleswig-Holstein,SH
1062,201401062,2014,Kreis Stormarn,43.7,Schleswig-Holstein,SH
2000,199502,1995,Hamburg,33.5,Hamburg,HH
2000,199802,1998,Hamburg,37.7,Hamburg,HH
2000,200102,2001,Hamburg,38.2,Hamburg,HH
2000,200402,2004,Hamburg,32.5,Hamburg,HH
2000,200702,2007,Hamburg,35.9,Hamburg,HH
2000,201002,2010,Hamburg,35.6,Hamburg,HH
2000,201302,2013,Hamburg,39.1,Hamburg,HH
2000,201402,2014,Hamburg,40.800000000000004,Hamburg,HH
3101,199503101,1995,Braunschweig,30.5,Niedersachsen,NI
3101,199803101,1998,Braunschweig,30.8,Niedersachsen,NI
3101,200103101,2001,Braunschweig,33.2,Niedersachsen,NI
3101,200403101,2004,Braunschweig,29.700000000000003,Niedersachsen,NI
3101,200703101,2007,Braunschweig,31.0,Niedersachsen,NI
3101,201003101,2010,Braunschweig,31.8,Niedersachsen,NI
3101,201303101,2013,Braunschweig,36.4,Niedersachsen,NI
3101,201403101,2014,Braunschweig,38.7,Niedersachsen,NI
3102,199503102,1995,Salzgitter,27.6,Niedersachsen,NI
3102,199803102,1998,Salzgitter,27.400000000000002,Niedersachsen,NI
3102,200103102,2001,Salzgitter,28.400000000000002,Niedersachsen,NI
3102,200403102,2004,Salzgitter,25.0,Niedersachsen,NI
3102,200703102,2007,Salzgitter,26.200000000000003,Niedersachsen,NI
3102,201003102,2010,Salzgitter,26.200000000000003,Niedersachsen,NI
3102,201303102,2013,Salzgitter,29.400000000000002,Niedersachsen,NI
3102,201403102,2014,Salzgitter,30.3,Niedersachsen,NI
3103,199503103,1995,Wolfsburg,28.200000000000003,Niedersachsen,NI
3103,199803103,1998,Wolfsburg,29.1,Niedersachsen,NI
3103,200103103,2001,Wolfsburg,33.6,Niedersachsen,NI
3103,200403103,2004,Wolfsburg,29.0,Niedersachsen,NI
3103,200703103,2007,Wolfsburg,30.400000000000002,Niedersachsen,NI
3103,201003103,2010,Wolfsburg,31.0,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,40.1,Niedersachsen,NI
3103,201403103,2014,Wolfsburg,40.800000000000004,Niedersachsen,NI
3151,199503151,1995,Landkreis Gifhorn,30.6,Niedersachsen,NI
3151,199803151,1998,Landkreis Gifhorn,32.4,Niedersachsen,NI
3151,200103151,2001,Landkreis Gifhorn,35.2,Niedersachsen,NI
3151,200403151,2004,Landkreis Gifhorn,31.1,Niedersachsen,NI
3151,200703151,2007,Landkreis Gifhorn,32.6,Niedersachsen,NI
3151,201003151,2010,Landkreis Gifhorn,33.300000000000004,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,40.400000000000006,Niedersachsen,NI
3151,201403151,2014,Landkreis Gifhorn,41.7,Niedersachsen,NI
3153,199503153,1995,Landkreis Goslar,28.200000000000003,Niedersachsen,NI
3153,199803153,1998,Landkreis Goslar,28.5,Niedersachsen,NI
3153,200103153,2001,Landkreis Goslar,29.6,Niedersachsen,NI
3153,200403153,2004,Landkreis Goslar,27.0,Niedersachsen,NI
3153,200703153,2007,Landkreis Goslar,27.400000000000002,Niedersachsen,NI
3153,201003153,2010,Landkreis Goslar,27.6,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,30.900000000000002,Niedersachsen,NI
3153,201403153,2014,Landkreis Goslar,31.700000000000003,Niedersachsen,NI
3154,199503154,1995,Landkreis Helmstedt,28.900000000000002,Niedersachsen,NI
3154,199803154,1998,Landkreis Helmstedt,29.700000000000003,Niedersachsen,NI
3154,200103154,2001,Landkreis Helmstedt,32.6,Niedersachsen,NI
3154,200403154,2004,Landkreis Helmstedt,29.1,Niedersachsen,NI
3154,200703154,2007,Landkreis Helmstedt,29.8,Niedersachsen,NI
3154,201003154,2010,Landkreis Helmstedt,30.700000000000003,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,36.0,Niedersachsen,NI
3154,201403154,2014,Landkreis Helmstedt,37.5,Niedersachsen,NI
3155,199503155,1995,Landkreis Northeim,28.700000000000003,Niedersachsen,NI
3155,199803155,1998,Landkreis Northeim,29.1,Niedersachsen,NI
3155,200103155,2001,Landkreis Northeim,29.900000000000002,Niedersachsen,NI
3155,200403155,2004,Landkreis Northeim,27.0,Niedersachsen,NI
3155,200703155,2007,Landkreis Northeim,27.8,Niedersachsen,NI
3155,201003155,2010,Landkreis Northeim,28.8,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,31.8,Niedersachsen,NI
3155,201403155,2014,Landkreis Northeim,32.800000000000004,Niedersachsen,NI
3156,199503156,1995,Landkreis Osterode am Harz,28.400000000000002,Niedersachsen,NI
3156,199803156,1998,Landkreis Osterode am Harz,28.3,Niedersachsen,NI
3156,200103156,2001,Landkreis Osterode am Harz,30.3,Niedersachsen,NI
3156,200403156,2004,Landkreis Osterode am Harz,26.5,Niedersachsen,NI
3156,200703156,2007,Landkreis Osterode am Harz,27.0,Niedersachsen,NI
3156,201003156,2010,Landkreis Osterode am Harz,27.3,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,,Niedersachsen,NI
3156,201403156,2014,Landkreis Osterode am Harz,,Niedersachsen,NI
3157,199503157,1995,Landkreis Peine,30.3,Niedersachsen,NI
3157,199803157,1998,Landkreis Peine,29.8,Niedersachsen,NI
3157,200103157,2001,Landkreis Peine,30.900000000000002,Niedersachsen,NI
3157,200403157,2004,Landkreis Peine,28.700000000000003,Niedersachsen,NI
3157,200703157,2007,Landkreis Peine,29.900000000000002,Niedersachsen,NI
3157,201003157,2010,Landkreis Peine,30.400000000000002,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,34.7,Niedersachsen,NI
3157,201403157,2014,Landkreis Peine,35.5,Niedersachsen,NI
3158,199503158,1995,Landkreis Wolfenbüttel,31.3,Niedersachsen,NI
3158,199803158,1998,Landkreis Wolfenbüttel,35.9,Niedersachsen,NI
3158,200103158,2001,Landkreis Wolfenbüttel,34.6,Niedersachsen,NI
3158,200403158,2004,Landkreis Wolfenbüttel,31.0,Niedersachsen,NI
3158,200703158,2007,Landkreis Wolfenbüttel,31.900000000000002,Niedersachsen,NI
3158,201003158,2010,Landkreis Wolfenbüttel,32.800000000000004,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,37.4,Niedersachsen,NI
3158,201403158,2014,Landkreis Wolfenbüttel,38.7,Niedersachsen,NI
3159,199503159,1995,Landkreis Göttingen,,Niedersachsen,NI
3159,199803159,1998,Landkreis Göttingen,,Niedersachsen,NI
3159,200103159,2001,Landkreis Göttingen,,Niedersachsen,NI
3159,200403159,2004,Landkreis Göttingen,,Niedersachsen,NI
3159,200703159,2007,Landkreis Göttingen,,Niedersachsen,NI
3159,201003159,2010,Landkreis Göttingen,,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,33.5,Niedersachsen,NI
3159,201403159,2014,Landkreis Göttingen,34.6,Niedersachsen,NI
3241,199503241,1995,Hannover,31.900000000000002,Niedersachsen,NI
3241,199803241,1998,Hannover,33.5,Niedersachsen,NI
3241,200103241,2001,Hannover,34.4,Niedersachsen,NI
3241,200403241,2004,Hannover,30.6,Niedersachsen,NI
3241,200703241,2007,Hannover,31.6,Niedersachsen,NI
3241,201003241,2010,Hannover,32.300000000000004,Niedersachsen,NI
3241,201303241,2013,Hannover,35.800000000000004,Niedersachsen,NI
3241,201403241,2014,Hannover,37.1,Niedersachsen,NI
3251,199503251,1995,Landkreis Diepholz,30.6,Niedersachsen,NI
3251,199803251,1998,Landkreis Diepholz,31.900000000000002,Niedersachsen,NI
3251,200103251,2001,Landkreis Diepholz,34.0,Niedersachsen,NI
3251,200403251,2004,Landkreis Diepholz,31.400000000000002,Niedersachsen,NI
3251,200703251,2007,Landkreis Diepholz,31.8,Niedersachsen,NI
3251,201003251,2010,Landkreis Diepholz,32.2,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,36.1,Niedersachsen,NI
3251,201403251,2014,Landkreis Diepholz,37.1,Niedersachsen,NI
3252,199503252,1995,Landkreis Hameln-Pyrmont,29.5,Niedersachsen,NI
3252,199803252,1998,Landkreis Hameln-Pyrmont,29.5,Niedersachsen,NI
3252,200103252,2001,Landkreis Hameln-Pyrmont,30.6,Niedersachsen,NI
3252,200403252,2004,Landkreis Hameln-Pyrmont,27.5,Niedersachsen,NI
3252,200703252,2007,Landkreis Hameln-Pyrmont,28.1,Niedersachsen,NI
3252,201003252,2010,Landkreis Hameln-Pyrmont,28.8,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,32.1,Niedersachsen,NI
3252,201403252,2014,Landkreis Hameln-Pyrmont,32.800000000000004,Niedersachsen,NI
3254,199503254,1995,Landkreis Hildesheim,29.8,Niedersachsen,NI
3254,199803254,1998,Landkreis Hildesheim,29.900000000000002,Niedersachsen,NI
3254,200103254,2001,Landkreis Hildesheim,31.3,Niedersachsen,NI
3254,200403254,2004,Landkreis Hildesheim,28.8,Niedersachsen,NI
3254,200703254,2007,Landkreis Hildesheim,30.3,Niedersachsen,NI
3254,201003254,2010,Landkreis Hildesheim,30.3,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,33.4,Niedersachsen,NI
3254,201403254,2014,Landkreis Hildesheim,34.300000000000004,Niedersachsen,NI
3255,199503255,1995,Landkreis Holzminden,28.5,Niedersachsen,NI
3255,199803255,1998,Landkreis Holzminden,27.8,Niedersachsen,NI
3255,200103255,2001,Landkreis Holzminden,29.200000000000003,Niedersachsen,NI
3255,200403255,2004,Landkreis Holzminden,25.400000000000002,Niedersachsen,NI
3255,200703255,2007,Landkreis Holzminden,26.700000000000003,Niedersachsen,NI
3255,201003255,2010,Landkreis Holzminden,27.1,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,30.200000000000003,Niedersachsen,NI
3255,201403255,2014,Landkreis Holzminden,30.700000000000003,Niedersachsen,NI
3256,199503256,1995,Landkreis Nienburg (Weser),28.1,Niedersachsen,NI
3256,199803256,1998,Landkreis Nienburg (Weser),28.0,Niedersachsen,NI
3256,200103256,2001,Landkreis Nienburg (Weser),29.5,Niedersachsen,NI
3256,200403256,2004,Landkreis Nienburg (Weser),27.3,Niedersachsen,NI
3256,200703256,2007,Landkreis Nienburg (Weser),27.700000000000003,Niedersachsen,NI
3256,201003256,2010,Landkreis Nienburg (Weser),28.6,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),32.2,Niedersachsen,NI
3256,201403256,2014,Landkreis Nienburg (Weser),32.9,Niedersachsen,NI
3257,199503257,1995,Landkreis Schaumburg,30.1,Niedersachsen,NI
3257,199803257,1998,Landkreis Schaumburg,31.3,Niedersachsen,NI
3257,200103257,2001,Landkreis Schaumburg,32.4,Niedersachsen,NI
3257,200403257,2004,Landkreis Schaumburg,29.200000000000003,Niedersachsen,NI
3257,200703257,2007,Landkreis Schaumburg,29.8,Niedersachsen,NI
3257,201003257,2010,Landkreis Schaumburg,30.3,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,33.9,Niedersachsen,NI
3257,201403257,2014,Landkreis Schaumburg,34.7,Niedersachsen,NI
3351,199503351,1995,Landkreis Celle,29.900000000000002,Niedersachsen,NI
3351,199803351,1998,Landkreis Celle,30.5,Niedersachsen,NI
3351,200103351,2001,Landkreis Celle,31.900000000000002,Niedersachsen,NI
3351,200403351,2004,Landkreis Celle,31.900000000000002,Niedersachsen,NI
3351,200703351,2007,Landkreis Celle,30.200000000000003,Niedersachsen,NI
3351,201003351,2010,Landkreis Celle,30.400000000000002,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,33.800000000000004,Niedersachsen,NI
3351,201403351,2014,Landkreis Celle,34.9,Niedersachsen,NI
3352,199503352,1995,Landkreis Cuxhaven,28.400000000000002,Niedersachsen,NI
3352,199803352,1998,Landkreis Cuxhaven,29.900000000000002,Niedersachsen,NI
3352,200103352,2001,Landkreis Cuxhaven,31.1,Niedersachsen,NI
3352,200403352,2004,Landkreis Cuxhaven,28.400000000000002,Niedersachsen,NI
3352,200703352,2007,Landkreis Cuxhaven,29.900000000000002,Niedersachsen,NI
3352,201003352,2010,Landkreis Cuxhaven,31.0,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,33.800000000000004,Niedersachsen,NI
3352,201403352,2014,Landkreis Cuxhaven,34.9,Niedersachsen,NI
3353,199503353,1995,Landkreis Harburg,36.5,Niedersachsen,NI
3353,199803353,1998,Landkreis Harburg,39.300000000000004,Niedersachsen,NI
3353,200103353,2001,Landkreis Harburg,40.400000000000006,Niedersachsen,NI
3353,200403353,2004,Landkreis Harburg,36.6,Niedersachsen,NI
3353,200703353,2007,Landkreis Harburg,39.1,Niedersachsen,NI
3353,201003353,2010,Landkreis Harburg,39.400000000000006,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,42.7,Niedersachsen,NI
3353,201403353,2014,Landkreis Harburg,43.900000000000006,Niedersachsen,NI
3354,199503354,1995,Landkreis Lüchow-Dannenberg,26.400000000000002,Niedersachsen,NI
3354,199803354,1998,Landkreis Lüchow-Dannenberg,27.3,Niedersachsen,NI
3354,200103354,2001,Landkreis Lüchow-Dannenberg,27.5,Niedersachsen,NI
