,YearSchluessel,Year,Stadt-/Landkreis,Verfügbares Einkommen je Einwohner in EUR,LAND_NAME,LAND_ABK
1001,200201001,2002,Flensburg,15596.0,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,16759.0,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,17868.0,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,18543.0,Schleswig-Holstein,SH
1001,201601001,2016,Flensburg,18481.0,Schleswig-Holstein,SH
1002,200201002,2002,Kiel,15277.0,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,16249.0,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,17062.0,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,18429.0,Schleswig-Holstein,SH
1002,201601002,2016,Kiel,18810.0,Schleswig-Holstein,SH
1003,200201003,2002,Lübeck,15581.0,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,17085.0,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,17470.0,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,18415.0,Schleswig-Holstein,SH
1003,201601003,2016,Lübeck,19575.0,Schleswig-Holstein,SH
1004,200201004,2002,Neumünster,15599.0,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,15845.0,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,16486.0,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,17844.0,Schleswig-Holstein,SH
1004,201601004,2016,Neumünster,18922.0,Schleswig-Holstein,SH
1051,200201051,2002,Kreis Dithmarschen,15065.0,Schleswig-Holstein,SH
1051,200501051,2005,Kreis Dithmarschen,16567.0,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,17821.0,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,20267.0,Schleswig-Holstein,SH
1051,201601051,2016,Kreis Dithmarschen,21571.0,Schleswig-Holstein,SH
1053,200201053,2002,Kreis Herzogtum Lauenburg,17770.0,Schleswig-Holstein,SH
1053,200501053,2005,Kreis Herzogtum Lauenburg,18889.0,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,20278.0,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,21858.0,Schleswig-Holstein,SH
1053,201601053,2016,Kreis Herzogtum Lauenburg,22961.0,Schleswig-Holstein,SH
1054,200201054,2002,Kreis Nordfriesland,15587.0,Schleswig-Holstein,SH
1054,200501054,2005,Kreis Nordfriesland,17350.0,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,19899.0,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,22786.0,Schleswig-Holstein,SH
