,YearSchluessel,Year,Stadt-/Landkreis,BIP je Erwerbstätigen in EUR,Veränderung des BIP zum Vorjahr in %,BIP je Einwohner in EUR,LAND_NAME,LAND_ABK
1001,200001001,2000,Flensburg,45527.0,,32428.0,Schleswig-Holstein,SH
1001,200501001,2005,Flensburg,55163.0,3.0,37258.0,Schleswig-Holstein,SH
1001,200901001,2009,Flensburg,55018.0,-3.8000000000000003,37920.0,Schleswig-Holstein,SH
1001,201301001,2013,Flensburg,57380.0,1.3,39359.0,Schleswig-Holstein,SH
1001,201601001,2016,Flensburg,62017.0,3.2,42827.0,Schleswig-Holstein,SH
1002,200001002,2000,Kiel,50590.0,,33900.0,Schleswig-Holstein,SH
1002,200501002,2005,Kiel,53829.0,1.7000000000000002,35384.0,Schleswig-Holstein,SH
1002,200901002,2009,Kiel,57088.0,0.30000000000000004,38825.0,Schleswig-Holstein,SH
1002,201301002,2013,Kiel,62276.0,5.4,41937.0,Schleswig-Holstein,SH
1002,201601002,2016,Kiel,66402.0,2.8000000000000003,45821.0,Schleswig-Holstein,SH
1003,200001003,2000,Lübeck,47782.0,,26464.0,Schleswig-Holstein,SH
1003,200501003,2005,Lübeck,51581.0,-0.1,27543.0,Schleswig-Holstein,SH
1003,200901003,2009,Lübeck,51052.0,-2.9000000000000004,29373.0,Schleswig-Holstein,SH
1003,201301003,2013,Lübeck,59799.0,2.6,34834.0,Schleswig-Holstein,SH
1003,201601003,2016,Lübeck,65287.0,6.1000000000000005,38078.0,Schleswig-Holstein,SH
1004,200001004,2000,Neumünster,47586.0,,27364.0,Schleswig-Holstein,SH
1004,200501004,2005,Neumünster,50910.0,1.5,28446.0,Schleswig-Holstein,SH
1004,200901004,2009,Neumünster,50755.0,-2.6,30860.0,Schleswig-Holstein,SH
1004,201301004,2013,Neumünster,57456.0,3.7,35930.0,Schleswig-Holstein,SH
1004,201601004,2016,Neumünster,61910.0,4.1000000000000005,39621.0,Schleswig-Holstein,SH
1051,200001051,2000,Kreis Dithmarschen,51783.0,,22506.0,Schleswig-Holstein,SH
1051,200501051,2005,Kreis Dithmarschen,54132.0,-29.400000000000002,21957.0,Schleswig-Holstein,SH
1051,200901051,2009,Kreis Dithmarschen,56449.0,-6.7,23484.0,Schleswig-Holstein,SH
1051,201301051,2013,Kreis Dithmarschen,65332.0,4.9,28436.0,Schleswig-Holstein,SH
1051,201601051,2016,Kreis Dithmarschen,70117.0,3.2,31456.0,Schleswig-Holstein,SH
1053,200001053,2000,Kreis Herzogtum Lauenburg,50949.0,,18138.0,Schleswig-Holstein,SH
1053,200501053,2005,Kreis Herzogtum Lauenburg,56012.0,11.3,19293.0,Schleswig-Holstein,SH
1053,200901053,2009,Kreis Herzogtum Lauenburg,52439.0,-2.4000000000000004,18363.0,Schleswig-Holstein,SH
1053,201301053,2013,Kreis Herzogtum Lauenburg,58926.0,4.9,21257.0,Schleswig-Holstein,SH
1053,201601053,2016,Kreis Herzogtum Lauenburg,61028.0,3.1,21795.0,Schleswig-Holstein,SH
1054,200001054,2000,Kreis Nordfriesland,47559.0,,23625.0,Schleswig-Holstein,SH
1054,200501054,2005,Kreis Nordfriesland,51092.0,0.4,24707.0,Schleswig-Holstein,SH
1054,200901054,2009,Kreis Nordfriesland,55204.0,0.2,28478.0,Schleswig-Holstein,SH
1054,201301054,2013,Kreis Nordfriesland,59291.0,0.7000000000000001,32103.0,Schleswig-Holstein,SH
1054,201601054,2016,Kreis Nordfriesland,63688.0,4.4,35275.0,Schleswig-Holstein,SH
1055,200001055,2000,Kreis Ostholstein,44300.0,,18763.0,Schleswig-Holstein,SH
1055,200501055,2005,Kreis Ostholstein,46506.0,2.2,18934.0,Schleswig-Holstein,SH
1055,200901055,2009,Kreis Ostholstein,46624.0,-0.9,19516.0,Schleswig-Holstein,SH
1055,201301055,2013,Kreis Ostholstein,51687.0,3.6,22649.0,Schleswig-Holstein,SH
1055,201601055,2016,Kreis Ostholstein,55466.0,4.1000000000000005,25083.0,Schleswig-Holstein,SH
1056,200001056,2000,Kreis Pinneberg,52365.0,,21823.0,Schleswig-Holstein,SH
1056,200501056,2005,Kreis Pinneberg,60089.0,6.0,24088.0,Schleswig-Holstein,SH
1056,200901056,2009,Kreis Pinneberg,60516.0,-2.4000000000000004,24786.0,Schleswig-Holstein,SH
1056,201301056,2013,Kreis Pinneberg,64335.0,2.0,26556.0,Schleswig-Holstein,SH
1056,201601056,2016,Kreis Pinneberg,67552.0,4.6000000000000005,28051.0,Schleswig-Holstein,SH
1057,200001057,2000,Kreis Plön,41656.0,,14144.0,Schleswig-Holstein,SH
1057,200501057,2005,Kreis Plön,47909.0,0.0,15302.0,Schleswig-Holstein,SH
1057,200901057,2009,Kreis Plön,49423.0,-0.6000000000000001,16649.0,Schleswig-Holstein,SH
1057,201301057,2013,Kreis Plön,58176.0,7.300000000000001,19454.0,Schleswig-Holstein,SH
1057,201601057,2016,Kreis Plön,57061.0,3.4000000000000004,19356.0,Schleswig-Holstein,SH
1058,200001058,2000,Kreis Rendsburg-Eckernförde,53319.0,,21779.0,Schleswig-Holstein,SH
1058,200501058,2005,Kreis Rendsburg-Eckernförde,55883.0,-0.7000000000000001,22209.0,Schleswig-Holstein,SH
1058,200901058,2009,Kreis Rendsburg-Eckernförde,55840.0,-6.5,23051.0,Schleswig-Holstein,SH
1058,201301058,2013,Kreis Rendsburg-Eckernförde,64056.0,-6.2,26892.0,Schleswig-Holstein,SH
1058,201601058,2016,Kreis Rendsburg-Eckernförde,66919.0,3.6,28197.0,Schleswig-Holstein,SH
1059,200001059,2000,Kreis Schleswig,47614.0,,18699.0,Schleswig-Holstein,SH
1059,200501059,2005,Kreis Schleswig,49801.0,-0.7000000000000001,18612.0,Schleswig-Holstein,SH
1059,200901059,2009,Kreis Schleswig,51569.0,-0.6000000000000001,20537.0,Schleswig-Holstein,SH
1059,201301059,2013,Kreis Schleswig,57811.0,4.4,23868.0,Schleswig-Holstein,SH
1059,201601059,2016,Kreis Schleswig,60764.0,2.3000000000000003,25656.0,Schleswig-Holstein,SH
1060,200001060,2000,Kreis Segeberg,52655.0,,23790.0,Schleswig-Holstein,SH
1060,200501060,2005,Kreis Segeberg,54587.0,0.9,23683.0,Schleswig-Holstein,SH
1060,200901060,2009,Kreis Segeberg,58051.0,-3.2,25680.0,Schleswig-Holstein,SH
1060,201301060,2013,Kreis Segeberg,62173.0,3.0,28062.0,Schleswig-Holstein,SH
1060,201601060,2016,Kreis Segeberg,66733.0,2.2,30561.0,Schleswig-Holstein,SH
1061,200001061,2000,Kreis Steinburg,54884.0,,23651.0,Schleswig-Holstein,SH
1061,200501061,2005,Kreis Steinburg,63821.0,13.9,25690.0,Schleswig-Holstein,SH
1061,200901061,2009,Kreis Steinburg,66593.0,-8.0,27227.0,Schleswig-Holstein,SH
1061,201301061,2013,Kreis Steinburg,70892.0,1.9000000000000001,30031.0,Schleswig-Holstein,SH
1061,201601061,2016,Kreis Steinburg,74653.0,2.3000000000000003,31402.0,Schleswig-Holstein,SH
1062,200001062,2000,Kreis Stormarn,55027.0,,24083.0,Schleswig-Holstein,SH
1062,200501062,2005,Kreis Stormarn,59777.0,3.4000000000000004,26282.0,Schleswig-Holstein,SH
1062,200901062,2009,Kreis Stormarn,59044.0,-3.9000000000000004,27540.0,Schleswig-Holstein,SH
1062,201301062,2013,Kreis Stormarn,64258.0,-1.2000000000000002,29466.0,Schleswig-Holstein,SH
1062,201601062,2016,Kreis Stormarn,70090.0,4.0,32833.0,Schleswig-Holstein,SH
2000,200002,2000,Hamburg,74484.0,,46712.0,Hamburg,HH
2000,200502,2005,Hamburg,83909.0,2.2,52313.0,Hamburg,HH
2000,200902,2009,Hamburg,81682.0,-3.6,53990.0,Hamburg,HH
2000,201302,2013,Hamburg,86520.0,4.3,58744.0,Hamburg,HH
2000,201602,2016,Hamburg,92163.0,2.5,62793.0,Hamburg,HH
3101,200003101,2000,Braunschweig,51932.0,,32410.0,Niedersachsen,NI
3101,200503101,2005,Braunschweig,56136.0,0.0,34559.0,Niedersachsen,NI
3101,200903101,2009,Braunschweig,57702.0,-3.3000000000000003,36550.0,Niedersachsen,NI
3101,201303101,2013,Braunschweig,64533.0,1.4000000000000001,41592.0,Niedersachsen,NI
3101,201603101,2016,Braunschweig,71633.0,9.3,46928.0,Niedersachsen,NI
3102,200003102,2000,Salzgitter,62712.0,,32788.0,Niedersachsen,NI
3102,200503102,2005,Salzgitter,70278.0,-3.7,37392.0,Niedersachsen,NI
3102,200903102,2009,Salzgitter,62562.0,-15.600000000000001,34965.0,Niedersachsen,NI
3102,201303102,2013,Salzgitter,81819.0,4.4,46710.0,Niedersachsen,NI
3102,201603102,2016,Salzgitter,88920.0,15.9,49597.0,Niedersachsen,NI
3103,200003103,2000,Wolfsburg,102265.0,,81111.0,Niedersachsen,NI
3103,200503103,2005,Wolfsburg,102202.0,16.6,87462.0,Niedersachsen,NI
3103,200903103,2009,Wolfsburg,88670.0,-10.9,83088.0,Niedersachsen,NI
3103,201303103,2013,Wolfsburg,123491.0,1.0,128892.0,Niedersachsen,NI
3103,201603103,2016,Wolfsburg,170216.0,54.5,178706.0,Niedersachsen,NI
3151,200003151,2000,Landkreis Gifhorn,45927.0,,13797.0,Niedersachsen,NI
3151,200503151,2005,Landkreis Gifhorn,48050.0,0.6000000000000001,14465.0,Niedersachsen,NI
3151,200903151,2009,Landkreis Gifhorn,50396.0,0.2,15711.0,Niedersachsen,NI
3151,201303151,2013,Landkreis Gifhorn,58167.0,9.5,18946.0,Niedersachsen,NI
3151,201603151,2016,Landkreis Gifhorn,66957.0,1.4000000000000001,22131.0,Niedersachsen,NI
3153,200003153,2000,Landkreis Goslar,43899.0,,19399.0,Niedersachsen,NI
3153,200503153,2005,Landkreis Goslar,49173.0,-4.800000000000001,21093.0,Niedersachsen,NI
3153,200903153,2009,Landkreis Goslar,49084.0,-6.800000000000001,21467.0,Niedersachsen,NI
3153,201303153,2013,Landkreis Goslar,55907.0,0.4,25150.0,Niedersachsen,NI
3153,201603153,2016,Landkreis Goslar,62718.0,6.7,27997.0,Niedersachsen,NI
3154,200003154,2000,Landkreis Helmstedt,48690.0,,15377.0,Niedersachsen,NI
3154,200503154,2005,Landkreis Helmstedt,48880.0,1.3,15100.0,Niedersachsen,NI
3154,200903154,2009,Landkreis Helmstedt,52176.0,-8.4,16339.0,Niedersachsen,NI
3154,201303154,2013,Landkreis Helmstedt,60896.0,5.7,19957.0,Niedersachsen,NI
3154,201603154,2016,Landkreis Helmstedt,62201.0,1.9000000000000001,20232.0,Niedersachsen,NI
3155,200003155,2000,Landkreis Northeim,46452.0,,18582.0,Niedersachsen,NI
3155,200503155,2005,Landkreis Northeim,48428.0,-1.6,19054.0,Niedersachsen,NI
3155,200903155,2009,Landkreis Northeim,52769.0,-1.3,21873.0,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,56863.0,1.8,25088.0,Niedersachsen,NI
3155,201603155,2016,Landkreis Northeim,61325.0,6.0,28348.0,Niedersachsen,NI
3156,200003156,2000,Landkreis Osterode am Harz,,,,Niedersachsen,NI
3156,200503156,2005,Landkreis Osterode am Harz,,,,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,,,,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,,,,Niedersachsen,NI
3156,201603156,2016,Landkreis Osterode am Harz,,,,Niedersachsen,NI
3157,200003157,2000,Landkreis Peine,45471.0,,16003.0,Niedersachsen,NI
3157,200503157,2005,Landkreis Peine,48999.0,-5.5,16357.0,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,55906.0,-12.200000000000001,18528.0,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,60366.0,0.4,20554.0,Niedersachsen,NI
3157,201603157,2016,Landkreis Peine,62056.0,-0.8,21113.0,Niedersachsen,NI
3158,200003158,2000,Landkreis Wolfenbüttel,45763.0,,12623.0,Niedersachsen,NI
3158,200503158,2005,Landkreis Wolfenbüttel,46823.0,0.0,13089.0,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,52544.0,-7.2,15193.0,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,61144.0,5.9,18872.0,Niedersachsen,NI
3158,201603158,2016,Landkreis Wolfenbüttel,64720.0,2.6,19955.0,Niedersachsen,NI
3159,200003159,2000,Landkreis Göttingen,50624.0,,23611.0,Niedersachsen,NI
3159,200503159,2005,Landkreis Göttingen,54922.0,1.5,25984.0,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,55287.0,-5.5,27746.0,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,59227.0,0.1,31112.0,Niedersachsen,NI
3159,201603159,2016,Landkreis Göttingen,62878.0,3.0,33320.0,Niedersachsen,NI
3241,200003241,2000,Hannover,57067.0,,30907.0,Niedersachsen,NI
3241,200503241,2005,Hannover,63834.0,7.300000000000001,34219.0,Niedersachsen,NI
3241,200903241,2009,Hannover,64442.0,-3.6,36489.0,Niedersachsen,NI
3241,201303241,2013,Hannover,68876.0,-0.30000000000000004,39862.0,Niedersachsen,NI
3241,201603241,2016,Hannover,73788.0,5.9,43240.0,Niedersachsen,NI
3251,200003251,2000,Landkreis Diepholz,48761.0,,20439.0,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,51653.0,-1.9000000000000001,21574.0,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,53432.0,-6.4,23024.0,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,60039.0,2.5,27681.0,Niedersachsen,NI
3251,201603251,2016,Landkreis Diepholz,64168.0,3.9000000000000004,29544.0,Niedersachsen,NI
3252,200003252,2000,Landkreis Hameln-Pyrmont,51195.0,,23725.0,Niedersachsen,NI
3252,200503252,2005,Landkreis Hameln-Pyrmont,54498.0,4.7,24137.0,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,60963.0,-4.1000000000000005,27672.0,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,65214.0,-1.4000000000000001,30499.0,Niedersachsen,NI
3252,201603252,2016,Landkreis Hameln-Pyrmont,68966.0,2.4000000000000004,32843.0,Niedersachsen,NI
3254,200003254,2000,Landkreis Hildesheim,43686.0,,19337.0,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,48569.0,-0.1,21033.0,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,50548.0,-4.5,21757.0,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,55800.0,-1.1,24922.0,Niedersachsen,NI
3254,201603254,2016,Landkreis Hildesheim,59906.0,2.8000000000000003,27137.0,Niedersachsen,NI
3255,200003255,2000,Landkreis Holzminden,47767.0,,19985.0,Niedersachsen,NI
3255,200503255,2005,Landkreis Holzminden,50843.0,0.30000000000000004,19675.0,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,55632.0,-3.3000000000000003,22304.0,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,67342.0,6.0,27922.0,Niedersachsen,NI
3255,201603255,2016,Landkreis Holzminden,70159.0,6.4,30057.0,Niedersachsen,NI
3256,200003256,2000,Landkreis Nienburg (Weser),48732.0,,21155.0,Niedersachsen,NI
3256,200503256,2005,Landkreis Nienburg (Weser),47169.0,-2.2,19928.0,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),50948.0,-3.7,21902.0,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),60909.0,6.2,27874.0,Niedersachsen,NI
3256,201603256,2016,Landkreis Nienburg (Weser),63401.0,-1.4000000000000001,29267.0,Niedersachsen,NI
3257,200003257,2000,Landkreis Schaumburg,47674.0,,17811.0,Niedersachsen,NI
3257,200503257,2005,Landkreis Schaumburg,47992.0,-0.4,17698.0,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,47710.0,-3.4000000000000004,18478.0,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,55443.0,1.4000000000000001,21845.0,Niedersachsen,NI
3257,201603257,2016,Landkreis Schaumburg,59675.0,2.2,24110.0,Niedersachsen,NI
3351,200003351,2000,Landkreis Celle,51917.0,,22285.0,Niedersachsen,NI
3351,200503351,2005,Landkreis Celle,46783.0,-1.0,19461.0,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,53646.0,-1.3,23133.0,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,60232.0,1.5,27006.0,Niedersachsen,NI
3351,201603351,2016,Landkreis Celle,61988.0,0.1,28469.0,Niedersachsen,NI
3352,200003352,2000,Landkreis Cuxhaven,43828.0,,14543.0,Niedersachsen,NI
3352,200503352,2005,Landkreis Cuxhaven,47173.0,-0.8,15238.0,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,49032.0,-1.9000000000000001,16710.0,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,56817.0,2.9000000000000004,20590.0,Niedersachsen,NI
3352,201603352,2016,Landkreis Cuxhaven,59650.0,-1.8,21509.0,Niedersachsen,NI
3353,200003353,2000,Landkreis Harburg,49360.0,,15643.0,Niedersachsen,NI
3353,200503353,2005,Landkreis Harburg,51042.0,0.30000000000000004,16114.0,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,54403.0,-1.1,18404.0,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,57880.0,-0.1,21264.0,Niedersachsen,NI
3353,201603353,2016,Landkreis Harburg,62626.0,1.2000000000000002,23393.0,Niedersachsen,NI
3354,200003354,2000,Landkreis Lüchow-Dannenberg,40744.0,,15656.0,Niedersachsen,NI
3354,200503354,2005,Landkreis Lüchow-Dannenberg,45021.0,-0.9,16841.0,Niedersachsen,NI
